#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
71   0.00120433   264.8   9261.24  0  -1049.17   -3.75235e-05   0.511754  0.488246
72   0.00119706   264.8   9261.04  0  -1049.08   -3.74873e-05   0.511828  0.488172
73   0.00118964   264.8   9260.86  0  -1048.99   -3.74459e-05   0.511903  0.488097
74   0.0011821   264.8   9260.68  0  -1048.91   -3.73992e-05   0.51198  0.48802
75   0.00117442   264.8   9260.51  0  -1048.83   -3.73472e-05   0.512059  0.487941
76   0.00116662   264.8   9260.34  0  -1048.75   -3.72899e-05   0.512139  0.487861
77   0.00115867   264.8   9260.18  0  -1048.67   -3.72273e-05   0.512221  0.487779
78   0.00115056   264.8   9260.02  0  -1048.6   -3.71595e-05   0.512304  0.487696
79   0.00114227   264.8   9259.87  0  -1048.54   -3.70864e-05   0.512389  0.487611
80   0.0011338   264.8   9259.73  0  -1048.47   -3.70083e-05   0.512476  0.487524
81   0.00112513   264.8   9259.59  0  -1048.41   -3.69253e-05   0.512564  0.487436
82   0.00111626   264.8   9259.45  0  -1048.35   -3.68374e-05   0.512654  0.487346
83   0.0011072   264.8   9259.32  0  -1048.29   -3.67448e-05   0.512746  0.487254
84   0.00109794   264.8   9259.2  0  -1048.24   -3.66477e-05   0.51284  0.48716
85   0.00108848   264.8   9259.08  0  -1048.19   -3.65461e-05   0.512936  0.487064
86   0.00107884   264.8   9258.96  0  -1048.14   -3.64403e-05   0.513034  0.486966
87   0.00106903   264.8   9258.85  0  -1048.1   -3.63302e-05   0.513134  0.486866
88   0.00105904   264.8   9258.74  0  -1048.06   -3.62161e-05   0.513236  0.486764
89   0.0010489   264.8   9258.64  0  -1048.02   -3.60979e-05   0.51334  0.48666
90   0.00103862   264.8   9258.54  0  -1047.98   -3.59759e-05   0.513446  0.486554
91   0.00102819   264.8   9258.45  0  -1047.95   -3.58501e-05   0.513554  0.486446
92   0.00101765   264.8   9258.36  0  -1047.91   -3.57207e-05   0.513665  0.486335
93   0.001007   264.8   9258.27  0  -1047.88   -3.55878e-05   0.513777  0.486223
94   0.000996249   264.8   9258.18  0  -1047.86   -3.54516e-05   0.513892  0.486108
95   0.000985425   264.8   9258.1  0  -1047.83   -3.5312e-05   0.514009  0.485991
96   0.000974542   264.8   9258.03  0  -1047.81   -3.51694e-05   0.514128  0.485872
97   0.000963617   264.8   9257.95  0  -1047.79   -3.50238e-05   0.51425  0.48575
98   0.000952669   264.8   9257.88  0  -1047.77   -3.48754e-05   0.514374  0.485626
99   0.000941717   264.8   9257.82  0  -1047.75   -3.47243e-05   0.5145  0.4855
