#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
33   1.8035466685e-03   6.3951680064e+02   1.0664266018e+04  0.0000000000e+00  -4.2139385407e+03   -2.2639047625e-12   1.0026985760e+00  9.9730142398e-01   1.1021836880e-01
34   2.2060164387e-03   6.3951680064e+02   1.0664425541e+04  0.0000000000e+00  -4.2142104514e+03   -1.9930767844e-12   1.0027338823e+00  9.9726611771e-01   1.1238781083e-01
35   2.5916092643e-03   6.3951680064e+02   1.0664045675e+04  0.0000000000e+00  -4.2139466303e+03   -1.6761272274e-12   1.0027609971e+00  9.9723900294e-01   1.1604455046e-01
36   2.9695377456e-03   6.3951680064e+02   1.0663844844e+04  0.0000000000e+00  -4.2138649405e+03   -1.4082226095e-12   1.0027773232e+00  9.9722267684e-01   1.1914212166e-01
37   3.3368846751e-03   6.3951680064e+02   1.0663913561e+04  0.0000000000e+00  -4.2140555853e+03   -1.1963410995e-12   1.0027834197e+00  9.9721658032e-01   1.2192764654e-01
38   3.6899521298e-03   6.3951680064e+02   1.0664129304e+04  0.0000000000e+00  -4.2143960389e+03   -1.0454422971e-12   1.0027809855e+00  9.9721901448e-01   1.2471029257e-01
39   4.0279665146e-03   6.3951680064e+02   1.0664378482e+04  0.0000000000e+00  -4.2147728554e+03   -9.3880229973e-13   1.0027721376e+00  9.9722786245e-01   1.2763837073e-01
40   4.3525027735e-03   6.3951680064e+02   1.0664602012e+04  0.0000000000e+00  -4.2151271390e+03   -8.3681137533e-13   1.0027590767e+00  9.9724092327e-01   1.3075372885e-01
41   4.6661336839e-03   6.3951680064e+02   1.0664782087e+04  0.0000000000e+00  -4.2154412625e+03   -7.5282106767e-13   1.0027439094e+00  9.9725609059e-01   1.3404832343e-01
42   4.9714848332e-03   6.3951680064e+02   1.0664921951e+04  0.0000000000e+00  -4.2157186175e+03   -6.9289547342e-13   1.0027285477e+00  9.9727145235e-01   1.3749164331e-01
43   5.2707985696e-03   6.3951680064e+02   1.0665032270e+04  0.0000000000e+00  -4.2159699809e+03   -6.2989377857e-13   1.0027146571e+00  9.9728534286e-01   1.4104424606e-01
44   5.5658261602e-03   6.3951680064e+02   1.0665124332e+04  0.0000000000e+00  -4.2162067089e+03   -5.9041806746e-13   1.0027036363e+00  9.9729636367e-01   1.4466530177e-01
45   5.8591369463e-03   6.3951680064e+02   1.0665208543e+04  0.0000000000e+00  -4.2164392722e+03   -5.2291870925e-13   1.0026957765e+00  9.9730422351e-01   1.4835282076e-01
46   6.1525782594e-03   6.3951680064e+02   1.0665266641e+04  0.0000000000e+00  -4.2166495732e+03   -4.8394925854e-13   1.0026898165e+00  9.9731018354e-01   1.5220254369e-01
47   6.4475368596e-03   6.3951680064e+02   1.0665327131e+04  0.0000000000e+00  -4.2168662103e+03   -4.2832989013e-13   1.0026844920e+00  9.9731550797e-01   1.5614728040e-01
48   6.7443588404e-03   6.3951680064e+02   1.0665407812e+04  0.0000000000e+00  -4.2171070289e+03   -3.8671082168e-13   1.0026787960e+00  9.9732120395e-01   1.6013813193e-01
49   7.0428754877e-03   6.3951680064e+02   1.0665510769e+04  0.0000000000e+00  -4.2173741375e+03   -3.5036556186e-13   1.0026720177e+00  9.9732798230e-01   1.6415099638e-01
50   7.3428825026e-03   6.3951680064e+02   1.0665631359e+04  0.0000000000e+00  -4.2176629043e+03   -3.1818485848e-13   1.0026637278e+00  9.9733627225e-01   1.6817657693e-01
51   7.6443223261e-03   6.3951680064e+02   1.0665764617e+04  0.0000000000e+00  -4.2179683747e+03   -2.8847524031e-13   1.0026537462e+00  9.9734625385e-01   1.7221276535e-01
52   7.9472784016e-03   6.3951680064e+02   1.0665907525e+04  0.0000000000e+00  -4.2182875430e+03   -2.6280062754e-13   1.0026421027e+00  9.9735789726e-01   1.7626052227e-01
