#k_sublattice  row_val   col_val  value.real  value.imag
6  2  5  0  0
6  3  0  0  0
6  3  1  0  0
6  3  2  0  0
6  3  3  0.999745  0
6  3  4  -1.72756e-05  0.000750385
6  3  5  -0.00257565  -0.0157251
6  4  0  0  0
6  4  1  0  0
6  4  2  0  0
6  4  3  -1.72756e-05  -0.000750385
6  4  4  0.997787  0
6  4  5  0.0461831  -0.00866143
6  5  0  0  0
6  5  1  0  0
6  5  2  0  0
6  5  3  -0.00257565  0.0157251
6  5  4  0.0461831  0.00866143
6  5  5  0.00246783  0
7  0  0  0.999742  0
7  0  1  -0.00130127  -8.03903e-08
7  0  2  -0.0160113  -1.00621e-06
7  0  3  0  0
7  0  4  0  0
7  0  5  0  0
7  1  0  -0.00130127  8.03903e-08
7  1  1  0.99344  0
7  1  2  -0.0807181  -8.14016e-07
7  1  3  0  0
7  1  4  0  0
7  1  5  0  0
7  2  0  -0.0160113  1.00621e-06
7  2  1  -0.0807181  8.14016e-07
7  2  2  0.00681819  0
7  2  3  0  0
7  2  4  0  0
7  2  5  0  0
7  3  0  0  0
7  3  1  0  0
7  3  2  0  0
7  3  3  0.999742  0
7  3  4  -0.000866397  -0.000971061
7  3  5  0.0122465  -0.0103169
7  4  0  0  0
7  4  1  0  0
7  4  2  0  0
7  4  3  -0.000866397  0.000971061
7  4  4  0.99344  0
7  4  5  0.00229338  -0.0806842
7  5  0  0  0
7  5  1  0  0
7  5  2  0  0
7  5  3  0.0122465  0.0103169
7  5  4  0.00229338  0.0806842
7  5  5  0.00681819  0
8  0  0  0.997653  0
8  0  1  -0.00180293  0.0017454
8  0  2  -0.0480605  0.00508181
8  0  3  0  0
8  0  4  0  0
8  0  5  0  0
8  1  0  -0.00180293  -0.0017454
8  1  1  0.997317  0
8  1  2  -0.0406909  -0.0318317
8  1  3  0  0
8  1  4  0  0
8  1  5  0  0
8  2  0  -0.0480605  -0.00508181
8  2  1  -0.0406909  0.0318317
8  2  2  0.00503007  0
8  2  3  0  0
8  2  4  0  0
8  2  5  0  0
8  3  0  0  0
8  3  1  0  0
8  3  2  0  0
8  3  3  0.997653  0
8  3  4  -0.00162184  0.00191499
8  3  5  0.0355356  -0.0327557
8  4  0  0  0
8  4  1  0  0
8  4  2  0  0
8  4  3  -0.00162184  -0.00191499
8  4  4  0.997317  0
8  4  5  0.0512712  0.00635807
8  5  0  0  0
8  5  1  0  0
8  5  2  0  0
8  5  3  0.0355356  0.0327557
8  5  4  0.0512712  -0.00635807
8  5  5  0.00503007  0
9  0  0  0.999679  0
9  0  1  0.000814714  0.00140062
9  0  2  0.00743489  0.0162189
9  0  3  0  0
9  0  4  0  0
9  0  5  0  0
9  1  0  0.000814714  -0.00140062
9  1  1  0.991822  0
9  1  2  -0.0896223  -0.00872121
9  1  3  0  0
9  1  4  0  0
9  1  5  0  0
9  2  0  0.00743489  -0.0162189
9  2  1  -0.0896223  0.00872121
9  2  2  0.00849899  0
9  2  3  0  0
9  2  4  0  0
9  2  5  0  0
9  3  0  0  0
9  3  1  0  0
9  3  2  0  0
9  3  3  0.999679  0
9  3  4  -0.000814819  0.00140063
9  3  5  0.00743563  -0.0162188
9  4  0  0  0
9  4  1  0  0
9  4  2  0  0
9  4  3  -0.000814819  -0.00140063
9  4  4  0.991822  0
9  4  5  0.0896243  -0.00872365
9  5  0  0  0
9  5  1  0  0
9  5  2  0  0
9  5  3  0.00743563  0.0162188
9  5  4  0.0896243  0.00872365
9  5  5  0.00849899  0
10  0  0  0.997626  0
10  0  1  -0.000715733  -1.42715e-07
10  0  2  -0.0486588  -2.75941e-07
10  0  3  0  0
10  0  4  0  0
10  0  5  0  0
10  1  0  -0.000715733  1.42715e-07
10  1  1  0.999784  0
10  1  2  -0.0146713  2.54885e-06
10  1  3  0  0
10  1  4  0  0
10  1  5  0  0
10  2  0  -0.0486588  2.75941e-07
10  2  1  -0.0146713  -2.54885e-06
10  2  2  0.00258962  0
10  2  3  0  0
10  2  4  0  0
10  2  5  0  0
10  3  0  0  0
10  3  1  0  0
10  3  2  0  0
10  3  3  0.997626  0
10  3  4  4.74355e-05  -0.000714196
10  3  5  0.0321095  0.0365595
10  4  0  0  0
10  4  1  0  0
10  4  2  0  0
10  4  3  4.74355e-05  0.000714196
10  4  4  0.999784  0
10  4  5  0.0103579  -0.0103912
10  5  0  0  0
10  5  1  0  0
10  5  2  0  0
10  5  3  0.0321095  -0.0365595
10  5  4  0.0103579  0.0103912
10  5  5  0.00258962  0
11  0  0  0.999745  0
11  0  1  0.000746188  7.99954e-05
11  0  2  -0.000592698  0.0159222
11  0  3  0  0
11  0  4  0  0
11  0  5  0  0
11  1  0  0.000746188  -7.99954e-05
11  1  1  0.997787  0
11  1  2  -0.00326773  -0.0468698
11  1  3  0  0
11  1  4  0  0
11  1  5  0  0
11  2  0  -0.000592698  -0.0159222
11  2  1  -0.00326773  0.0468698
11  2  2  0.00246743  0
11  2  3  0  0
11  2  4  0  0
11  2  5  0  0
11  3  0  0  0
11  3  1  0  0
11  3  2  0  0
11  3  3  0.999745  0
11  3  4  -0.000347546  0.000665139
11  3  5  0.0101888  0.0122503
11  4  0  0  0
11  4  1  0  0
11  4  2  0  0
11  4  3  -0.000347546  -0.000665139
11  4  4  0.997787  0
11  4  5  -0.0181017  0.0433565
11  5  0  0  0
11  5  1  0  0
11  5  2  0  0
11  5  3  0.0101888  -0.0122503
11  5  4  -0.0181017  -0.0433565
11  5  5  0.00246743  0
12  0  0  0.988202  0
12  0  1  0.0018116  0.100183
12  0  2  0.000316993  -0.0402318
12  0  3  0  0
12  0  4  0  0
12  0  5  0  0
12  1  0  0.0018116  -0.100183
12  1  1  0.0101596  0
12  1  2  -0.00407807  -0.000105896
12  1  3  0  0
12  1  4  0  0
12  1  5  0  0
12  2  0  0.000316993  0.0402318
12  2  1  -0.00407807  0.000105896
12  2  2  0.00163803  0
12  2  3  0  0
12  2  4  0  0
12  2  5  0  0
12  3  0  0  0
12  3  1  0  0
12  3  2  0  0
12  3  3  0.988202  0
12  3  4  -0.100139  -0.0034093
12  3  5  0.0335786  -0.0221624
12  4  0  0  0
12  4  1  0  0
12  4  2  0  0
12  4  3  -0.100139  0.0034093
12  4  4  0.0101596  0
12  4  5  -0.00332622  0.00236166
12  5  0  0  0
12  5  1  0  0
12  5  2  0  0
12  5  3  0.0335786  0.0221624
12  5  4  -0.00332622  -0.00236166
12  5  5  0.00163803  0
13  0  0  0.99284  0
13  0  1  -0.0821103  2.08657e-07
13  0  2  0.0191378  8.48321e-07
13  0  3  0  0
13  0  4  0  0
13  0  5  0  0
13  1  0  -0.0821103  -2.08657e-07
13  1  1  0.00679103  0
13  1  2  -0.00158276  -7.03952e-08
13  1  3  0  0
13  1  4  0  0
13  1  5  0  0
