#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
71   7.76246e-05   296.56   2204.63  0  -1138.03   3.62237e-10   0.0421489  0.957851
72   7.54393e-05   296.56   2204.52  0  -1137.99   3.37026e-10   0.0403415  0.959658
73   7.32488e-05   296.56   2204.41  0  -1137.95   3.13769e-10   0.038607  0.961393
74   7.10609e-05   296.56   2204.31  0  -1137.91   2.92319e-10   0.0369427  0.963057
75   6.88826e-05   296.56   2204.2  0  -1137.87   2.7252e-10   0.0353463  0.964654
76   6.67201e-05   296.56   2204.11  0  -1137.84   2.54241e-10   0.0338151  0.966185
77   6.45788e-05   296.56   2204.02  0  -1137.8   2.37347e-10   0.032347  0.967653
78   6.24634e-05   296.56   2203.93  0  -1137.77   2.2173e-10   0.0309395  0.969061
79   6.03781e-05   296.56   2203.84  0  -1137.74   2.07289e-10   0.0295904  0.97041
80   5.83265e-05   296.56   2203.76  0  -1137.71   1.93923e-10   0.0282976  0.971702
81   5.63116e-05   296.56   2203.68  0  -1137.68   1.8155e-10   0.0270589  0.972941
82   5.43361e-05   296.56   2203.61  0  -1137.65   1.70076e-10   0.0258723  0.974128
83   5.24022e-05   267.11   2203.54  0  -1137.63   1.59446e-10   0.0247357  0.975264
84   5.05116e-05   267.11   2203.47  0  -1137.6   1.49583e-10   0.0236472  0.976353
85   4.86659e-05   267.11   2203.4  0  -1137.58   1.40424e-10   0.0226049  0.977395
86   4.68662e-05   267.11   2203.34  0  -1137.55   1.31916e-10   0.0216071  0.978393
87   4.51134e-05   267.11   2203.28  0  -1137.53   1.2401e-10   0.0206519  0.979348
88   4.34081e-05   267.11   2203.22  0  -1137.51   1.16649e-10   0.0197376  0.980262
89   4.17507e-05   267.11   2203.16  0  -1137.49   1.09804e-10   0.0188626  0.981137
90   4.01414e-05   267.11   2203.11  0  -1137.47   1.03425e-10   0.0180254  0.981975
91   3.85802e-05   267.11   2203.06  0  -1137.45   9.74804e-11   0.0172243  0.982776
92   3.70669e-05   267.11   2203.01  0  -1137.43   9.19325e-11   0.0164579  0.983542
93   3.56012e-05   267.11   2202.96  0  -1137.41   8.67573e-11   0.0157249  0.984275
94   3.41827e-05   267.11   2202.92  0  -1137.4   8.19244e-11   0.0150237  0.984976
95   3.28109e-05   267.11   2202.88  0  -1137.38   7.7402e-11   0.0143531  0.985647
96   3.1485e-05   267.11   2202.84  0  -1137.37   7.31761e-11   0.0137118  0.986288
97   3.02045e-05   267.11   2202.8  0  -1137.35   6.92212e-11   0.0130985  0.986901
98   2.89684e-05   267.11   2202.76  0  -1137.34   6.55157e-11   0.0125122  0.987488
99   2.77759e-05   267.11   2202.72  0  -1137.33   6.20442e-11   0.0119517  0.988048
100   2.66262e-05   267.11   2202.69  0  -1137.31   5.87918e-11   0.0114158  0.988584
101   2.55181e-05   267.11   2202.66  0  -1137.3   5.57292e-11   0.0109035  0.989096
102   2.44509e-05   267.11   2202.63  0  -1137.29   5.28602e-11   0.0104139  0.989586
103   2.34233e-05   267.11   2202.6  0  -1137.28   5.01687e-11   0.00994591  0.990054
104   2.24345e-05   267.11   2202.57  0  -1137.27   4.76317e-11   0.00949865  0.990501
105   2.14833e-05   267.11   2202.54  0  -1137.26   4.525e-11   0.00907123  0.990929
106   2.05686e-05   267.11   2202.52  0  -1137.25   4.30085e-11   0.00866279  0.991337
107   1.96895e-05   267.11   2202.49  0  -1137.24   4.08945e-11   0.00827251  0.991727
108   1.88448e-05   267.11   2202.47  0  -1137.23   3.89038e-11   0.0078996  0.9921
109   1.80334e-05   267.11   2202.44  0  -1137.22   3.70279e-11   0.00754331  0.992457
110   1.72544e-05   267.11   2202.42  0  -1137.21   3.52585e-11   0.00720291  0.992797
111   1.65066e-05   267.11   2202.4  0  -1137.21   3.35868e-11   0.00687772  0.993122
112   1.5789e-05   267.11   2202.38  0  -1137.2   3.20096e-11   0.00656705  0.993433
113   1.51006e-05   267.11   2202.36  0  -1137.19   3.052e-11   0.00627029  0.99373
114   1.44403e-05   267.11   2202.34  0  -1137.19   2.91143e-11   0.00598681  0.994013
115   1.38073e-05   267.11   2202.33  0  -1137.18   2.77831e-11   0.00571604  0.994284
116   1.32005e-05   267.11   2202.31  0  -1137.17   2.65237e-11   0.00545742  0.994543
117   1.2619e-05   267.11   2202.3  0  -1137.17   2.53316e-11   0.0052104  0.99479
118   1.20618e-05   267.11   2202.28  0  -1137.16   2.42047e-11   0.00497448  0.995026
119   1.1528e-05   267.11   2202.27  0  -1137.16   2.31368e-11   0.00474917  0.995251
120   1.10168e-05   267.11   2202.25  0  -1137.15   2.21254e-11   0.00453399  0.995466
121   1.05273e-05   267.11   2202.24  0  -1137.15   2.11656e-11   0.00432849  0.995672
122   1.00587e-05   267.11   2202.23  0  -1137.14   2.02577e-11   0.00413225  0.995868
123   9.61013e-06   267.11   2202.21  0  -1137.14   1.93978e-11   0.00394486  0.996055
124   9.18084e-06   267.11   2202.2  0  -1137.13   1.85783e-11   0.00376591  0.996234
125   8.77005e-06   267.11   2202.19  0  -1137.13   1.78049e-11   0.00359504  0.996405
126   8.37704e-06   267.11   2202.18  0  -1137.13   1.70699e-11   0.00343188  0.996568
127   8.00109e-06   267.11   2202.17  0  -1137.12   1.63704e-11   0.00327609  0.996724
128   7.64151e-06   267.11   2202.16  0  -1137.12   1.57083e-11   0.00312733  0.996873
129   7.29763e-06   267.11   2202.15  0  -1137.12   1.50766e-11   0.00298531  0.997015
130   6.96881e-06   267.11   2202.14  0  -1137.11   1.44789e-11   0.0028497  0.99715
131   6.65443e-06   267.11   2202.14  0  -1137.11   1.39107e-11   0.00272023  0.99728
132   6.35388e-06   267.11   2202.13  0  -1137.11   1.33706e-11   0.00259661  0.997403
133   6.0666e-06   267.11   2202.12  0  -1137.1   1.28579e-11   0.0024786  0.997521
134   5.79202e-06   267.11   2202.11  0  -1137.1   1.23669e-11   0.00236592  0.997634
135   5.52961e-06   267.11   2202.11  0  -1137.1   1.19006e-11   0.00225836  0.997742
136   5.27886e-06   267.11   2202.1  0  -1137.1   1.14608e-11   0.00215566  0.997844
137   5.03926e-06   267.11   2202.09  0  -1137.09   1.10414e-11   0.00205763  0.997942
138   4.81035e-06   267.11   2202.09  0  -1137.09   1.06398e-11   0.00196403  0.998036
139   4.59166e-06   267.11   2202.08  0  -1137.09   1.02598e-11   0.00187469  0.998125
140   4.38276e-06   267.11   2202.08  0  -1137.09   9.89574e-12   0.00178939  0.998211
141   4.18321e-06   267.11   2202.07  0  -1137.09   9.54892e-12   0.00170797  0.998292
142   3.99262e-06   267.11   2202.07  0  -1137.08   9.22484e-12   0.00163024  0.99837
143   3.8106e-06   267.11   2202.06  0  -1137.08   8.91139e-12   0.00155604  0.998444
144   3.63677e-06   267.11   2202.06  0  -1137.08   8.61701e-12   0.00148521  0.998515
145   3.47077e-06   267.11   2202.05  0  -1137.08   8.32892e-12   0.0014176  0.998582
146   3.31226e-06   267.11   2202.05  0  -1137.08   8.05972e-12   0.00135306  0.998647
147   3.16091e-06   267.11   2202.05  0  -1137.08   7.80155e-12   0.00129145  0.998709
148   3.01641e-06   267.11   2202.04  0  -1137.07   7.55683e-12   0.00123265  0.998767
149   2.87845e-06   267.11   2202.04  0  -1137.07   7.3227e-12   0.00117651  0.998823
150   2.74674e-06   267.11   2202.03  0  -1137.07   7.10012e-12   0.00112293  0.998877
151   2.621e-06   267.11   2202.03  0  -1137.07   6.89004e-12   0.00107178  0.998928
152   2.50097e-06   267.11   2202.03  0  -1137.07   6.68542e-12   0.00102296  0.998977
153   2.3864e-06   267.11   2202.03  0  -1137.07   6.49323e-12   0.000976363  0.999024
154   2.27704e-06   267.11   2202.02  0  -1137.07   6.31085e-12   0.000931883  0.999068
155   2.17266e-06   267.11   2202.02  0  -1137.07   6.13529e-12   0.000889427  0.999111
156   2.07303e-06   267.11   2202.02  0  -1137.07   5.96944e-12   0.000848903  0.999151
157   1.97794e-06   267.11   2202.01  0  -1137.06   5.81223e-12   0.000810222  0.99919
158   1.88719e-06   267.11   2202.01  0  -1137.06   5.65769e-12   0.000773302  0.999227
159   1.80058e-06   267.11   2202.01  0  -1137.06   5.51277e-12   0.000738063  0.999262
160   1.71792e-06   267.11   2202.01  0  -1137.06   5.3771e-12   0.000704428  0.999296
161   1.63905e-06   267.11   2202.01  0  -1137.06   5.2437e-12   0.000672324  0.999328
162   1.56377e-06   267.11   2202  0  -1137.06   5.11907e-12   0.000641681  0.999358
163   1.49195e-06   267.11   2202  0  -1137.06   4.99848e-12   0.000612434  0.999388
164   1.4234e-06   267.11   2202  0  -1137.06   4.88664e-12   0.000584519  0.999415
165   1.358e-06   267.11   2202  0  -1137.06   4.77665e-12   0.000557875  0.999442
166   1.29559e-06   267.11   2202  0  -1137.06   4.67334e-12   0.000532445  0.999468
167   1.23604e-06   267.11   2202  0  -1137.06   4.57308e-12   0.000508173  0.999492
168   1.17922e-06   267.11   2201.99  0  -1137.06   4.48229e-12   0.000485007  0.999515
169   1.12501e-06   267.11   2201.99  0  -1137.06   4.39039e-12   0.000462896  0.999537
170   1.07328e-06   267.11   2201.99  0  -1137.06   4.30829e-12   0.000441792  0.999558
171   1.02392e-06   267.11   2201.99  0  -1137.05   4.22721e-12   0.00042165  0.999578
172   9.76832e-07   267.11   2201.99  0  -1137.05   4.14428e-12   0.000402426  0.999598
173   9.31904e-07   267.11   2201.99  0  -1137.05   4.07003e-12   0.000384077  0.999616
174   8.89039e-07   267.11   2201.99  0  -1137.05   4.00053e-12   0.000366565  0.999633
175   8.48143e-07   267.11   2201.99  0  -1137.05   3.93092e-12   0.000349851  0.99965
176   8.09125e-07   267.11   2201.98  0  -1137.05   3.87002e-12   0.000333898  0.999666
177   7.71901e-07   267.11   2201.98  0  -1137.05   3.80626e-12   0.000318673  0.999681
178   7.36387e-07   267.11   2201.98  0  -1137.05   3.74794e-12   0.000304141  0.999696
179   7.02505e-07   267.11   2201.98  0  -1137.05   3.6918e-12   0.000290272  0.99971
180   6.70181e-07   267.11   2201.98  0  -1137.05   3.6382e-12   0.000277035  0.999723
181   6.39344e-07   267.11   2201.98  0  -1137.05   3.58527e-12   0.000264402  0.999736
182   6.09924e-07   267.11   2201.98  0  -1137.05   3.5373e-12   0.000252344  0.999748
183   5.81858e-07   267.11   2201.98  0  -1137.05   3.49228e-12   0.000240836  0.999759
184   5.55083e-07   267.11   2201.98  0  -1137.05   3.44959e-12   0.000229853  0.99977
185   5.2954e-07   267.11   2201.98  0  -1137.05   3.4028e-12   0.00021937  0.999781
186   5.05171e-07   267.11   2201.98  0  -1137.05   3.36458e-12   0.000209366  0.999791
187   4.81924e-07   267.11   2201.98  0  -1137.05   3.32361e-12   0.000199817  0.9998
188   4.59747e-07   267.11   2201.97  0  -1137.05   3.29102e-12   0.000190704  0.999809
189   4.38591e-07   267.11   2201.97  0  -1137.05   3.25727e-12   0.000182006  0.999818
190   4.18408e-07   267.11   2201.97  0  -1137.05   3.22111e-12   0.000173705  0.999826
191   3.99154e-07   267.11   2201.97  0  -1137.05   3.18577e-12   0.000165782  0.999834
192   3.80787e-07   267.11   2201.97  0  -1137.05   3.15727e-12   0.000158221  0.999842
193   3.63265e-07   267.11   2201.97  0  -1137.05   3.12904e-12   0.000151004  0.999849
194   3.46549e-07   267.11   2201.97  0  -1137.05   3.10306e-12   0.000144117  0.999856
195   3.30603e-07   267.11   2201.97  0  -1137.05   3.07561e-12   0.000137544  0.999862
196   3.15392e-07   267.11   2201.97  0  -1137.05   3.0516e-12   0.00013127  0.999869
197   3.0088e-07   267.11   2201.97  0  -1137.05   3.02909e-12   0.000125282  0.999875
198   2.87037e-07   267.11   2201.97  0  -1137.05   3.00289e-12   0.000119568  0.99988
199   2.73831e-07   267.11   2201.97  0  -1137.05   2.98193e-12   0.000114114  0.999886
200   2.61233e-07   267.11   2201.97  0  -1137.05   2.95939e-12   0.000108909  0.999891
201   2.49215e-07   267.11   2201.97  0  -1137.05   2.94157e-12   0.000103941  0.999896
202   2.3775e-07   267.11   2201.97  0  -1137.05   2.92306e-12   9.92001e-05  0.999901
203   2.26813e-07   267.11   2201.97  0  -1137.05   2.90349e-12   9.46751e-05  0.999905
204   2.1638e-07   267.11   2201.97  0  -1137.05   2.88662e-12   9.03566e-05  0.99991
205   2.06427e-07   267.11   2201.97  0  -1137.05   2.87041e-12   8.62349e-05  0.999914
206   1.96932e-07   267.11   2201.97  0  -1137.05   2.85572e-12   8.23013e-05  0.999918
207   1.87874e-07   267.11   2201.97  0  -1137.05   2.83899e-12   7.85471e-05  0.999921
208   1.79234e-07   267.11   2201.97  0  -1137.05   2.82414e-12   7.49641e-05  0.999925
209   1.70991e-07   267.11   2201.97  0  -1137.05   2.80984e-12   7.15446e-05  0.999928
210   1.63128e-07   267.11   2201.97  0  -1137.05   2.79788e-12   6.8281e-05  0.999932
211   1.55626e-07   267.11   2201.97  0  -1137.05   2.78575e-12   6.51662e-05  0.999935
212   1.4847e-07   267.11   2201.97  0  -1137.05   2.77412e-12   6.21936e-05  0.999938
213   1.41643e-07   267.11   2201.97  0  -1137.05   2.76271e-12   5.93565e-05  0.999941
214   1.35131e-07   267.11   2201.97  0  -1137.05   2.75106e-12   5.66488e-05  0.999943
215   1.28918e-07   267.11   2201.97  0  -1137.05   2.74015e-12   5.40647e-05  0.999946
216   1.22991e-07   267.11   2201.97  0  -1137.05   2.7299e-12   5.15984e-05  0.999948
217   1.17337e-07   267.11   2201.97  0  -1137.05   2.72111e-12   4.92446e-05  0.999951
218   1.11943e-07   267.11   2201.97  0  -1137.05   2.71167e-12   4.69982e-05  0.999953
219   1.06798e-07   267.11   2201.97  0  -1137.05   2.7039e-12   4.48542e-05  0.999955
220   1.01889e-07   267.11   2201.97  0  -1137.05   2.69574e-12   4.28081e-05  0.999957
221   9.72062e-08   267.11   2201.97  0  -1137.05   2.68569e-12   4.08552e-05  0.999959
222   9.27387e-08   267.11   2201.97  0  -1137.05   2.68169e-12   3.89915e-05  0.999961
223   8.84768e-08   267.11   2201.97  0  -1137.05   2.67265e-12   3.72128e-05  0.999963
224   8.4411e-08   267.11   2201.96  0  -1137.05   2.66676e-12   3.55152e-05  0.999964
225   8.05323e-08   267.11   2201.96  0  -1137.05   2.66007e-12   3.3895e-05  0.999966
226   7.6832e-08   267.11   2201.96  0  -1137.05   2.6546e-12   3.23488e-05  0.999968
227   7.33019e-08   267.11   2201.96  0  -1137.05   2.64578e-12   3.08731e-05  0.999969
228   6.99342e-08   267.11   2201.96  0  -1137.05   2.64208e-12   2.94647e-05  0.999971
229   6.67214e-08   267.11   2201.96  0  -1137.05   2.64039e-12   2.81205e-05  0.999972
230   6.36563e-08   267.11   2201.96  0  -1137.05   2.63245e-12   2.68377e-05  0.999973
231   6.07322e-08   267.11   2201.96  0  -1137.05   2.62832e-12   2.56134e-05  0.999974
232   5.79426e-08   267.11   2201.96  0  -1137.05   2.62293e-12   2.44449e-05  0.999976
233   5.52813e-08   267.11   2201.96  0  -1137.05   2.62044e-12   2.33298e-05  0.999977
234   5.27424e-08   267.11   2201.96  0  -1137.05   2.61455e-12   2.22655e-05  0.999978
235   5.03202e-08   267.11   2201.96  0  -1137.05   2.60692e-12   2.12497e-05  0.999979
236   4.80094e-08   267.11   2201.96  0  -1137.05   2.60489e-12   2.02803e-05  0.99998
237   4.58048e-08   267.11   2201.96  0  -1137.05   2.603e-12   1.93551e-05  0.999981
238   4.37016e-08   267.11   2201.96  0  -1137.05   2.59959e-12   1.84722e-05  0.999982
239   4.1695e-08   267.11   2201.96  0  -1137.05   2.59398e-12   1.76295e-05  0.999982
240   3.97807e-08   267.11   2201.96  0  -1137.05   2.58968e-12   1.68252e-05  0.999983
241   3.79544e-08   267.11   2201.96  0  -1137.05   2.58743e-12   1.60577e-05  0.999984
242   3.6212e-08   267.11   2201.96  0  -1137.05   2.58313e-12   1.53251e-05  0.999985
243   3.45497e-08   267.11   2201.96  0  -1137.05   2.58308e-12   1.4626e-05  0.999985
244   3.29638e-08   267.11   2201.96  0  -1137.05   2.58038e-12   1.39587e-05  0.999986
245   3.14508e-08   267.11   2201.96  0  -1137.05   2.57722e-12   1.33219e-05  0.999987
246   3.00073e-08   267.11   2201.96  0  -1137.05   2.5758e-12   1.27142e-05  0.999987
247   2.86301e-08   267.11   2201.96  0  -1137.05   2.57342e-12   1.21342e-05  0.999988
248   2.73162e-08   267.11   2201.96  0  -1137.05   2.57058e-12   1.15806e-05  0.999988
249   2.60627e-08   267.11   2201.96  0  -1137.05   2.56864e-12   1.10523e-05  0.999989
250   2.48667e-08   267.11   2201.96  0  -1137.05   2.56581e-12   1.05481e-05  0.999989
251   2.37257e-08   267.11   2201.96  0  -1137.05   2.56428e-12   1.00669e-05  0.99999
252   2.26371e-08   267.11   2201.96  0  -1137.05   2.5634e-12   9.60764e-06  0.99999
253   2.15985e-08   267.11   2201.96  0  -1137.05   2.56048e-12   9.16933e-06  0.999991
254   2.06076e-08   267.11   2201.96  0  -1137.05   2.55563e-12   8.75103e-06  0.999991
255   1.96623e-08   267.11   2201.96  0  -1137.05   2.55518e-12   8.3518e-06  0.999992
256   1.87603e-08   267.11   2201.96  0  -1137.05   2.5556e-12   7.97079e-06  0.999992
257   1.78997e-08   267.11   2201.96  0  -1137.05   2.55271e-12   7.60716e-06  0.999992
258   1.70787e-08   267.11   2201.96  0  -1137.05   2.54885e-12   7.26012e-06  0.999993
259   1.62954e-08   267.11   2201.96  0  -1137.05   2.5551e-12   6.92891e-06  0.999993
260   1.5548e-08   267.11   2201.96  0  -1137.05   2.54977e-12   6.61281e-06  0.999993
261   1.4835e-08   267.11   2201.96  0  -1137.05   2.5493e-12   6.31113e-06  0.999994
262   1.41546e-08   267.11   2201.96  0  -1137.05   2.54794e-12   6.02321e-06  0.999994
263   1.35056e-08   267.11   2201.96  0  -1137.05   2.54699e-12   5.74843e-06  0.999994
264   1.28863e-08   267.11   2201.96  0  -1137.05   2.54688e-12   5.48618e-06  0.999995
265   1.22954e-08   267.11   2201.96  0  -1137.05   2.54441e-12   5.2359e-06  0.999995
266   1.17316e-08   267.11   2201.96  0  -1137.05   2.54327e-12   4.99704e-06  0.999995
267   1.11938e-08   267.11   2201.96  0  -1137.05   2.54286e-12   4.76907e-06  0.999995
268   1.06806e-08   267.11   2201.96  0  -1137.05   2.54169e-12   4.5515e-06  0.999995
269   1.01909e-08   267.11   2201.96  0  -1137.05   2.54161e-12   4.34386e-06  0.999996
270   9.72377e-09   267.11   2201.96  0  -1137.05   2.54161e-12   4.14569e-06  0.999996
