#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -3.330669074e-16  1.71694256e-15  1  1.71694256e-15
0  1  3.837189719e-33  -8.760353554e-17  1  -8.760353554e-17
0  2  1.072439137e-30  1.464540295e-15  1  1.464540295e-15
0  3  1.628629556e-29  -5.707240236e-15  1  -5.707240236e-15
0  4  2.220446049e-16  -2.91433544e-16  1  -2.91433544e-16
0  5  9.248315593e-31  -1.360023205e-15  1  -1.360023205e-15
0  6  9.248315593e-31  -1.360023205e-15  1  -1.360023205e-15

1  0  2.220446049e-16  4.770489559e-16  1  4.770489559e-16
1  1  -1.110223025e-16  -2.106821662e-15  1  -2.106821662e-15
1  2  -2.220446049e-16  6.379011902e-15  1  6.379011902e-15
1  3  2.635709506e-16  -0.2163916942  0.9766785338  -0.2147068736
1  4  -8.327738322e-17  -0.0649097018  0.9978941049  -0.06486413106
1  5  4.660750465e-32  -3.053113318e-16  1  -3.053113318e-16
1  6  4.660750465e-32  -3.053113318e-16  1  -3.053113318e-16

2  0  2.736102844e-30  2.339274607e-15  1  2.339274607e-15
2  1  6.109147585e-32  -3.495467804e-16  1  -3.495467804e-16
2  2  -1.110223025e-16  9.076940588e-16  1  9.076940588e-16
2  3  -3.361900862e-17  -2.819715524  -0.9486432639  -0.3163478431
2  4  1.482393897e-16  -0.04057573348  0.9991769179  -0.04056460048
2  5  2.220446049e-16  3.247402347e-15  1  3.247402347e-15
2  6  2.220446049e-16  3.247402347e-15  1  3.247402347e-15

3  0  -3.330669074e-16  -2.51534904e-17  1  -2.51534904e-17
3  1  -2.949460289e-16  -0.0002789804737  0.9999999611  -0.0002789804701
3  2  -1.438933522e-16  -0.000701204826  0.9999997542  -0.0007012047686
3  3  5.525553196e-31  -1.051242426e-15  1  -1.051242426e-15
3  4  2.220446049e-16  -1.540434447e-15  1  -1.540434447e-15
3  5  1.329493515e-32  1.630640067e-16  1  1.630640067e-16
3  6  1.329493515e-32  1.630640067e-16  1  1.630640067e-16

4  0  -2.220446049e-16  7.791076811e-16  1  7.791076811e-16
4  1  -2.761411181e-16  -4.496392616e-05  0.999999999  -4.496392615e-05
4  2  4.094684561e-17  0.001025149226  0.9999994745  0.001025149046
4  3  2.220446049e-16  -3.141592654  -1  -1.248957535e-14
4  4  1.271512341e-29  -5.042841145e-15  1  -5.042841145e-15
4  5  2.220446049e-16  2.168404345e-16  1  2.168404345e-16
4  6  2.220446049e-16  2.168404345e-16  1  2.168404345e-16

5  0  7.657882645e-30  3.913536162e-15  1  3.913536162e-15
5  1  -2.220446049e-16  1.02283633e-15  1  1.02283633e-15
5  2  -2.220446049e-16  8.604228441e-16  1  8.604228441e-16
5  3  -2.220446049e-16  -7.26155247e-15  1  -7.26155247e-15
5  4  5.436105119e-29  -1.042698913e-14  1  -1.042698913e-14
5  5  -1.110223025e-16  1.934216676e-16  1  1.934216676e-16
5  6  -1.110223025e-16  1.934216676e-16  1  1.934216676e-16

6  0  7.657882645e-30  3.913536162e-15  1  1.934216676e-16
6  1  -2.761411181e-16  -4.496392616e-05  1  1.934216676e-16
6  2  -1.438933522e-16  -0.000701204826  1  1.934216676e-16
6  3  -3.361900862e-17  -2.819715524  1  1.934216676e-16
6  4  -8.327738322e-17  -0.0649097018  1  1.934216676e-16
6  5  9.248315593e-31  -1.360023205e-15  1  1.934216676e-16
6  6  9.248315593e-31  -1.360023205e-15  1  1.934216676e-16

#Chern no*2pi*Iota= -1.156275822e-15  -6.283185307
