#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -3.000862296e-17  0.02422764116  0.9997065251  0.02422527105
0  1  -1.787674624e-17  0.02361852882  0.9997210955  0.02361633301
0  2  2.222732088e-17  0.02246314974  0.9997477141  0.02246126066
0  3  2.719224657e-16  0.02123534432  0.9997745385  0.02123374838
0  4  -7.964144893e-17  0.02036298341  0.9997926816  0.02036157618
0  5  -9.469368747e-17  0.02005019949  0.9997990015  0.02004885612
0  6  5.343359017e-18  0.02024135403  0.9997951508  0.02023997187
0  7  1.703045104e-16  0.02068963909  0.9997859771  0.02068816305
0  8  6.838503932e-17  0.02107938542  0.999777838  0.02107782439
0  9  -2.017775992e-16  0.02116860291  0.9997759535  0.02116702197
0  10  -2.697939927e-17  0.02090325092  0.999781535  0.02090172869
0  11  -2.328392401e-16  0.02044364228  0.999791036  0.02044221826
0  12  -2.657261719e-16  0.02008685428  0.9997982659  0.02008550352
0  13  -2.410742945e-16  0.0201307311  0.9997973837  0.02012937148
0  14  -3.218264967e-16  0.02073775565  0.9997849805  0.02073626929
0  15  8.688768461e-17  0.02183495825  0.9997616268  0.02183322327
0  16  -7.294870247e-18  0.02309023561  0.9997334324  0.02308818387
0  17  -2.23921706e-16  0.02402096922  0.9997115104  0.02401865925
0  18  -2.23921706e-16  0.02402096922  0.9997115104  0.02401865925

1  0  -9.258970265e-17  0.02361852882  0.9997210955  0.02361633301
1  1  4.464632042e-17  0.02342276688  0.9997256995  0.02342062521
1  2  4.828187311e-16  0.02258490169  0.9997449719  0.02258298173
1  3  9.922442842e-17  0.02143485406  0.9997702823  0.02143321271
1  4  3.555329736e-16  0.02038143433  0.9997923058  0.02038002328
1  5  1.762151821e-16  0.01972081565  0.999805551  0.01971953741
1  6  4.032168652e-16  0.01953334083  0.9998092304  0.01953209869
1  7  -1.059021587e-16  0.01969727886  0.9998060149  0.01969600518
1  8  1.267858939e-17  0.01997769028  0.9998004526  0.01997636143
1  9  4.415353024e-17  0.02014346887  0.9997971272  0.02014210667
1  10  2.04128018e-16  0.02007425566  0.9997985189  0.02007290745
1  11  1.559982365e-16  0.01981627905  0.999803664  0.01981498215
1  12  6.532026514e-17  0.01956065384  0.9998086965  0.01955940649
1  13  -7.620318957e-17  0.01955565583  0.9998087943  0.01955440943
1  14  -6.776965408e-17  0.01999059589  0.9998001947  0.01998926446
1  15  -3.892018647e-17  0.02088856108  0.9997818419  0.02088704205
1  16  2.376231511e-16  0.02204851169  0.9997569414  0.0220467253
1  17  -3.011234089e-16  0.02309023719  0.9997334323  0.02308818545
1  18  -3.011234089e-16  0.02309023719  0.9997334323  0.02308818545

2  0  1.722923381e-16  0.02246314974  0.9997477141  0.02246126066
2  1  1.252135893e-16  0.02258490169  0.9997449719  0.02258298173
2  2  2.754205693e-16  0.02216859812  0.9997542867  0.02216678238
2  3  2.018604694e-16  0.02134305344  0.9997722457  0.02134143309
2  4  4.439996323e-16  0.02035596931  0.9997928244  0.02035456353
2  5  5.029854182e-17  0.01947701365  0.999810329  0.01947578223
2  6  -2.472414542e-16  0.01888295843  0.9998217222  0.01888183628
2  7  -4.193484299e-16  0.01860198575  0.9998269881  0.01860091295
2  8  -1.211339545e-16  0.0185417906  0.9998281059  0.01854072818
2  9  2.020835799e-17  0.01856500306  0.9998276753  0.01856393665
2  10  1.099312465e-17  0.01856710778  0.9998276362  0.018566041
2  11  -9.7766944e-17  0.01852783346  0.9998283646  0.01852677344
2  12  -4.781215482e-17  0.01852090977  0.9998284929  0.01851985093
2  13  -2.591778959e-16  0.01867983035  0.999825537  0.01867874402
2  14  -3.434696453e-16  0.01912941449  0.9998170383  0.01912824783
2  15  9.173356028e-17  0.01990388066  0.9998019243  0.01990256649
2  16  7.21030242e-17  0.02088856197  0.9997818419  0.02088704295
2  17  -6.116371512e-17  0.02183496076  0.9997616267  0.02183322578
2  18  -6.116371512e-17  0.02183496076  0.9997616267  0.02183322578

3  0  3.825352205e-16  0.02123534432  0.9997745385  0.02123374838
3  1  -8.625758143e-17  0.02143485406  0.9997702823  0.02143321271
3  2  -1.843718022e-17  0.02134305344  0.9997722457  0.02134143309
3  3  -1.326499435e-16  0.02096937031  0.9997801508  0.02096783359
3  4  9.314678532e-17  0.02033833804  0.9997931831  0.02033693592
3  5  1.026686225e-16  0.019538264  0.9998091342  0.01953702092
3  6  -2.879795875e-16  0.01871612755  0.9998248584  0.01871503488
3  7  -3.820675023e-16  0.01801057944  0.9998378139  0.01800960574
3  8  -1.45122546e-16  0.01749598758  0.9998469491  0.01749509498
3  9  8.906527653e-18  0.01718158901  0.9998524001  0.01718074367
3  10  -2.087770106e-16  0.01704687323  0.9998547056  0.01704604762
3  11  -2.80611888e-16  0.01707790852  0.9998541761  0.01707707839
3  12  -2.329671182e-17  0.01728490884  0.9998506197  0.01728404816
3  13  -1.634227711e-16  0.0176953727  0.999843441  0.01769444923
3  14  -9.821186316e-17  0.01832387822  0.9998321224  0.01832285282
3  15  -2.027143751e-17  0.01912941472  0.9998170383  0.01912824806
3  16  -1.217443202e-16  0.01999059692  0.9998001947  0.01998926549
3  17  3.148594034e-17  0.02073775823  0.9997849804  0.02073627186
3  18  3.148594034e-17  0.02073775823  0.9997849804  0.02073627186

4  0  8.584239533e-17  0.02036298341  0.9997926816  0.02036157618
4  1  -8.281798958e-18  0.02038143433  0.9997923058  0.02038002328
4  2  -6.928994845e-17  0.02035596931  0.9997928244  0.02035456353
4  3  3.651240324e-17  0.02033833804  0.9997931831  0.02033693592
4  4  3.274215146e-16  0.02021982399  0.9997955863  0.02021844623
4  5  -1.111271223e-16  0.01983630489  0.999803267  0.01983500405
4  6  -7.536717635e-17  0.01912664779  0.9998170912  0.01912548163
4  7  -1.019236392e-16  0.01819970054  0.99983439  0.01819869585
4  8  -1.064381008e-17  0.01726235871  0.9998510092  0.01726150139
4  9  9.502803861e-17  0.01650572455  0.9998637836  0.01650497509
4  10  7.016181942e-17  0.0160494327  0.9998712106  0.0160487437
4  11  -5.540712162e-17  0.01594792535  0.9998728345  0.01594724934
4  12  -2.39483232e-16  0.01621325255  0.9998685681  0.01621254223
4  13  -2.252876822e-16  0.01682151122  0.9998585217  0.01682071792
4  14  -1.700044489e-16  0.0176953726  0.999843441  0.01769444913
4  15  -7.31673572e-17  0.01867983036  0.999825537  0.01867874404
4  16  -3.494172941e-17  0.01955565645  0.9998087942  0.01955441005
4  17  -2.790381093e-16  0.02013073302  0.9997973836  0.0201293734
4  18  -2.790381093e-16  0.02013073302  0.9997973836  0.0201293734

5  0  1.16802962e-16  0.02005019949  0.9997990015  0.02004885612
5  1  -3.041246432e-16  0.01972081565  0.999805551  0.01971953741
5  2  -2.267239067e-16  0.01947701365  0.999810329  0.01947578223
5  3  -3.33583106e-17  0.019538264  0.9998091342  0.01953702092
5  4  2.231096887e-16  0.01983630489  0.999803267  0.01983500405
5  5  1.298819259e-16  0.02005875801  0.9997988299  0.02005741292
5  6  -1.878407379e-16  0.01985064372  0.9998029824  0.01984934006
5  7  6.064769965e-17  0.01907611565  0.9998180564  0.01907495871
5  8  6.07714645e-17  0.01791923914  0.9998394547  0.01791828018
5  9  -2.783148983e-16  0.01673549312  0.9998599649  0.01673471192
5  10  -1.570836683e-16  0.01584154473  0.9998745254  0.01584088216
5  11  -1.083975041e-17  0.01542418088  0.9998810497  0.01542356931
5  12  8.833698913e-17  0.01555413448  0.9998790369  0.01555350732
5  13  1.671020327e-16  0.01621325237  0.9998685681  0.01621254205
5  14  3.36033912e-16  0.01728490851  0.9998506197  0.01728404782
5  15  -4.59188845e-17  0.01852090937  0.9998284929  0.01851985053
5  16  -9.447810298e-18  0.01956065373  0.9998086965  0.01955940638
