#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
29   2.1903031979e-03   2.6361995858e+02   9.2632363889e+03  0.0000000000e+00  -1.0472084997e+03   -4.2882115936e-06   5.4097815455e-01  4.5902184545e-01   2.2921408221e+00
30   2.2054278210e-03   2.6361995858e+02   9.2576932022e+03  0.0000000000e+00  -1.0441854305e+03   -6.1218254007e-06   5.5625869230e-01  4.4374130770e-01   2.5201175820e+00
31   2.0135750928e-03   2.6361995858e+02   9.2629161894e+03  0.0000000000e+00  -1.0471135644e+03   -4.2262086772e-06   5.4226278171e-01  4.5773721829e-01   2.2948533072e+00
32   2.0838472293e-03   2.6361995858e+02   9.2574917264e+03  0.0000000000e+00  -1.0442009424e+03   -5.8421014532e-06   5.5709438312e-01  4.4290561688e-01   2.5118409937e+00
33   1.8542349543e-03   2.6361995858e+02   9.2626590631e+03  0.0000000000e+00  -1.0470483349e+03   -4.1623144557e-06   5.4342597130e-01  4.5657402870e-01   2.3199441740e+00
34   1.9671299181e-03   2.6361995858e+02   9.2573018347e+03  0.0000000000e+00  -1.0442181384e+03   -5.5566908198e-06   5.5787607023e-01  4.4212392977e-01   2.5270318459e+00
35   1.7131273312e-03   2.6361995858e+02   9.2624516526e+03  0.0000000000e+00  -1.0470068294e+03   -4.0987309342e-06   5.4448177929e-01  4.5551822071e-01   2.3611268529e+00
36   1.8573438269e-03   2.6361995858e+02   9.2571229919e+03  0.0000000000e+00  -1.0442369347e+03   -5.2713417759e-06   5.5859275715e-01  4.4140724285e-01   2.5587659897e+00
37   1.5902206462e-03   2.6361995858e+02   9.2622829950e+03  0.0000000000e+00  -1.0469840103e+03   -4.0368648707e-06   5.4543991061e-01  4.5456008939e-01   2.4129275096e+00
38   1.7559891763e-03   2.6361995858e+02   9.2569552024e+03  0.0000000000e+00  -1.0442574352e+03   -4.9907576319e-06   5.5923591270e-01  4.4076408730e-01   2.6012175666e+00
39   1.4849108198e-03   2.6361995858e+02   9.2621440067e+03  0.0000000000e+00  -1.0469756166e+03   -3.9777311250e-06   5.4630687632e-01  4.5369312368e-01   2.4706230203e+00
40   1.6643061263e-03   2.6361995858e+02   9.2567986586e+03  0.0000000000e+00  -1.0442797635e+03   -4.7190434102e-06   5.5979939186e-01  4.4020060814e-01   2.6494950755e+00
41   1.3962482335e-03   2.6361995858e+02   9.2620271258e+03  0.0000000000e+00  -1.0469780462e+03   -3.9222027907e-06   5.4708693913e-01  4.5291306087e-01   2.5301844862e+00
42   1.5833610283e-03   2.6219209124e+02   9.2566535460e+03  0.0000000000e+00  -1.0443039852e+03   -4.4599610986e-06   5.6027923304e-01  4.3972076696e-01   2.6995188353e+00
43   1.3230872709e-03   2.6219209124e+02   9.2619260305e+03  0.0000000000e+00  -1.0469882580e+03   -3.8711564738e-06   5.4778288319e-01  4.5221711681e-01   2.5882117701e+00
44   1.5140379517e-03   2.6219209124e+02   9.2565199530e+03  0.0000000000e+00  -1.0443300885e+03   -4.2170550858e-06   5.6067339903e-01  4.3932660097e-01   2.7479080143e+00
45   1.2641838103e-03   2.6219209124e+02   9.2618354001e+03  0.0000000000e+00  -1.0470036817e+03   -3.8255488618e-06   5.4839663510e-01  4.5160336490e-01   2.6418538768e+00
46   1.4570096378e-03   2.6219209124e+02   9.2563978502e+03  0.0000000000e+00  -1.0443579983e+03   -3.9936903047e-06   5.6098150228e-01  4.3901849772e-01   2.7918665150e+00
47   1.2182712243e-03   2.6219209124e+02   9.2617507048e+03  0.0000000000e+00  -1.0470221343e+03   -3.7864504982e-06   5.4892975762e-01  4.5107024238e-01   2.6887185996e+00
48   1.4127311239e-03   2.6219209124e+02   9.2562871106e+03  0.0000000000e+00  -1.0443876099e+03   -3.7930310871e-06   5.6120453430e-01  4.3879546570e-01   2.8290696691e+00
49   1.1841409663e-03   2.6219209124e+02   9.2616680273e+03  0.0000000000e+00  -1.0470417456e+03   -3.7550534547e-06   5.4938383332e-01  4.5061616668e-01   2.7267809559e+00
50   1.3814814961e-03   2.6219209124e+02   9.2561875511e+03  0.0000000000e+00  -1.0444188303e+03   -3.6179764736e-06   5.6134460207e-01  4.3865539793e-01   2.8575609427e+00
51   1.1607457629e-03   2.6219209124e+02   9.2615839230e+03  0.0000000000e+00  -1.0470608983e+03   -3.7326628100e-06   5.4976075105e-01  4.5023924895e-01   2.7543038538e+00
52   1.3634688079e-03   2.6219209124e+02   9.2560989777e+03  0.0000000000e+00  -1.0444516250e+03   -3.4710561108e-06   5.6140465948e-01  4.3859534052e-01   2.8756720006e+00
53   1.1473344354e-03   2.6219209124e+02   9.2614953303e+03  0.0000000000e+00  -1.0470781905e+03   -3.7206754447e-06   5.5006290149e-01  4.4993709851e-01   2.7697871352e+00
54   1.3590063706e-03   2.6219209124e+02   9.2560212215e+03  0.0000000000e+00  -1.0444860638e+03   -3.3542822787e-06   5.6138821132e-01  4.3861178868e-01   2.8819821008e+00
55   1.1436181886e-03   2.6219209124e+02   9.2613995496e+03  0.0000000000e+00  -1.0470924288e+03   -3.7205445286e-06   5.5029327769e-01  4.4970672231e-01   2.7719631364e+00
56   1.3687619326e-03   2.6219209124e+02   9.2559541529e+03  0.0000000000e+00  -1.0445223662e+03   -3.2689493429e-06   5.6129896413e-01  4.3870103587e-01   2.8753341949e+00
57   1.1499586184e-03   2.6219209124e+02   9.2612943049e+03  0.0000000000e+00  -1.0471026610e+03   -3.7337240766e-06   5.5045546402e-01  4.4954453598e-01   2.7598573279e+00
58   1.3940696247e-03   2.6219209124e+02   9.2558976596e+03  0.0000000000e+00  -1.0445609392e+03   -3.2153781088e-06   5.6114040769e-01  4.3885959231e-01   2.8549235485e+00
59   1.1675567710e-03   2.6219209124e+02   9.2611779050e+03  0.0000000000e+00  -1.0471082565e+03   -3.7615861548e-06   5.5055348411e-01  4.4944651589e-01   2.7329280459e+00
60   1.4372694397e-03   2.6219209124e+02   9.2558515777e+03  0.0000000000e+00  -1.0446023948e+03   -3.1926248568e-06   5.6091534081e-01  4.3908465919e-01   2.8204656232e+00
61   1.1986090230e-03   2.6219209124e+02   9.2610494965e+03  0.0000000000e+00  -1.0471090301e+03   -3.8053073800e-06   5.5059147942e-01  4.4940852058e-01   2.6912835828e+00
62   1.5019910322e-03   2.6219209124e+02   9.2558155701e+03  0.0000000000e+00  -1.0446475306e+03   -3.1982175962e-06   5.6062540801e-01  4.3937459199e-01   2.7724269159e+00
63   1.2463787938e-03   2.6219209124e+02   9.2609093679e+03  0.0000000000e+00  -1.0471053866e+03   -3.8657327240e-06   5.5057322185e-01  4.4942677815e-01   2.6359417061e+00
64   1.5932308360e-03   2.6219209124e+02   9.2557889681e+03  0.0000000000e+00  -1.0446972492e+03   -3.2280370299e-06   5.6027077728e-01  4.3972922272e-01   2.7122623143e+00
65   1.3151167239e-03   2.6219209124e+02   9.2607592045e+03  0.0000000000e+00  -1.0470984370e+03   -3.9432429357e-06   5.5050154235e-01  4.4949845765e-01   2.5690486792e+00
66   1.7170247476e-03   2.6219209124e+02   9.2557706250e+03  0.0000000000e+00  -1.0447524141e+03   -3.2764899309e-06   5.5985012455e-01  4.4014987545e-01   2.6425566021e+00
67   1.4097583133e-03   2.6219209124e+02   9.2606021626e+03  0.0000000000e+00  -1.0470900158e+03   -4.0376659967e-06   5.5037786081e-01  4.4962213919e-01   2.4939357796e+00
68   1.8795786648e-03   2.6219209124e+02   9.2557588679e+03  0.0000000000e+00  -1.0448136715e+03   -3.3370711584e-06   5.5936104615e-01  4.4063895385e-01   2.5669504083e+00
69   1.5353589618e-03   2.6219209124e+02   9.2604426495e+03  0.0000000000e+00  -1.0470825489e+03   -4.1482655487e-06   5.5020205026e-01  4.4979794974e-01   2.4149042863e+00
70   2.0859468618e-03   2.6219209124e+02   9.2557516259e+03  0.0000000000e+00  -1.0448813095e+03   -3.4032472256e-06   5.5880088345e-01  4.4119911655e-01   2.4897841624e+00
71   1.6963085360e-03   2.6219209124e+02   9.2602858117e+03  0.0000000000e+00  -1.0470787724e+03   -4.2738045093e-06   5.4997277049e-01  4.5002722951e-01   2.3367228573e+00
72   2.3386483001e-03   2.6219209124e+02   9.2557467379e+03  0.0000000000e+00  -1.0449552169e+03   -3.4693952812e-06   5.5816777728e-01  4.4183222272e-01   2.4155183425e+00
73   1.8954806867e-03   2.6219209124e+02   9.2601368527e+03  0.0000000000e+00  -1.0470813723e+03   -4.4126424710e-06   5.4968818471e-01  4.5031181529e-01   2.2639594419e+00
74   2.6367291328e-03   2.6219209124e+02   9.2557423186e+03  0.0000000000e+00  -1.0450349482e+03   -3.5314568654e-06   5.5746167479e-01  4.4253832521e-01   2.3481099505e+00
75   2.1335434421e-03   2.6219209124e+02   9.2600003740e+03  0.0000000000e+00  -1.0470926419e+03   -4.5628149020e-06   5.4934679380e-01  4.5065320620e-01   2.2003616458e+00
76   2.9755556945e-03   2.6219209124e+02   9.2557370187e+03  0.0000000000e+00  -1.0451198339e+03   -3.5871054159e-06   5.5668503675e-01  4.4331496325e-01   2.2905472896e+00
77   2.4086118827e-03   2.6219209124e+02   9.2598798948e+03  0.0000000000e+00  -1.0471142354e+03   -4.7220648720e-06   5.4894812465e-01  4.5105187535e-01   2.1484745749e+00
78   3.3472135832e-03   2.6219209124e+02   9.2557300834e+03  0.0000000000e+00  -1.0452090772e+03   -3.6354775117e-06   5.5584310736e-01  4.4415689264e-01   2.2446532406e+00
79   2.7162672426e-03   2.6219209124e+02   9.2597776260e+03  0.0000000000e+00  -1.0471470554e+03   -4.8878299268e-06   5.4849314723e-01  4.5150685277e-01   2.1095644098e+00
80   3.7411100381e-03   2.6219209124e+02   9.2557212405e+03  0.0000000000e+00  -1.0453018117e+03   -3.6766889938e-06   5.5494374266e-01  4.4505625734e-01   2.2111417460e+00
81   3.0497952150e-03   2.6219209124e+02   9.2596944831e+03  0.0000000000e+00  -1.0471912663e+03   -5.0572048642e-06   5.4798442495e-01  4.5201557505e-01   2.0837879667e+00
82   4.1443708187e-03   2.6219209124e+02   9.2557105135e+03  0.0000000000e+00  -1.0453971306e+03   -3.7113634761e-06   5.5399689193e-01  4.4600310807e-01   2.1898339400e+00
83   3.4004057850e-03   2.6219209124e+02   9.2596302695e+03  0.0000000000e+00  -1.0472464024e+03   -5.2269061043e-06   5.4742605195e-01  4.5257394805e-01   2.0704842059e+00
84   4.5417954767e-03   2.6219209124e+02   9.2556980438e+03  0.0000000000e+00  -1.0454941023e+03   -3.7403023988e-06   5.5301387171e-01  4.4698612829e-01   2.1799255223e+00
85   3.7572119791e-03   2.6219209124e+02   9.2595839314e+03  0.0000000000e+00  -1.0473115218e+03   -5.3932612749e-06   5.4682342391e-01  4.5317657609e-01   2.0684680515e+00
86   4.9153443314e-03   2.6219209124e+02   9.2556839597e+03  0.0000000000e+00  -1.0455917686e+03   -3.7643186139e-06   5.5200658528e-01  4.4799341472e-01   2.1802185087e+00
87   4.1068347905e-03   2.6219209124e+02   9.2595537953e+03  0.0000000000e+00  -1.0473853599e+03   -5.5522444962e-06   5.4618286936e-01  4.5381713064e-01   2.0762442475e+00
88   5.2433394921e-03   2.6219209124e+02   9.2556682940e+03  0.0000000000e+00  -1.0456891187e+03   -3.7841888045e-06   5.5098685629e-01  4.4901314371e-01   2.1892600440e+00
89   4.4326434479e-03   2.6219209124e+02   9.2595377111e+03  0.0000000000e+00  -1.0474664387e+03   -5.6995758551e-06   5.4551115551e-01  4.5448884449e-01   2.0920971177e+00
90   5.4998566904e-03   2.6219209124e+02   9.2556509403e+03  0.0000000000e+00  -1.0457850228e+03   -3.8006545711e-06   5.4996607710e-01  4.5003392290e-01   2.2053548835e+00
91   4.7138650721e-03   2.6219209124e+02   9.2595330472e+03  0.0000000000e+00  -1.0475530895e+03   -5.8309045796e-06   5.4481487574e-01  4.5518512426e-01   2.1140402195e+00
92   5.6552896081e-03   2.6219209124e+02   9.2556316526e+03  0.0000000000e+00  -1.0458781331e+03   -3.8144036899e-06   5.4895536451e-01  4.5104463549e-01   2.2264382353e+00
93   4.9251826852e-03   2.6219209124e+02   9.2595365193e+03  0.0000000000e+00  -1.0476433622e+03   -5.9420976904e-06   5.4409973050e-01  4.5590026950e-01   2.1396376051e+00
94   5.6796965709e-03   2.6219209124e+02   9.2556101295e+03  0.0000000000e+00  -1.0459668037e+03   -3.8259865603e-06   5.4796622458e-01  4.5203377542e-01   2.2498312998e+00
95   5.0379879745e-03   2.6219209124e+02   9.2595439325e+03  0.0000000000e+00  -1.0477348433e+03   -6.0296480940e-06   5.4336975906e-01  4.5663024094e-01   2.1657633222e+00
