#n1   n2   E0(n1,n2)   E1(n1,n2)  ...
0  0  -19.5156  -16.0092  -14.2263  
0  1  -19.6654  -16.4287  -13.6174  
0  2  -19.8617  -17.2649  -12.001  
0  3  -19.9165  -17.6587  -10.8681  
0  4  -19.8617  -17.2648  -12.0009  
0  5  -19.6652  -16.4283  -13.6172  
0  6  -19.5152  -16.0079  -14.2262  

1  0  -19.6654  -16.4287  -13.6174  
1  1  -19.6654  -16.4287  -13.6174  
1  2  -19.8206  -17.0748  -12.4399  
1  3  -19.9034  -17.6941  -10.7752  
1  4  -19.9034  -17.694  -10.7751  
1  5  -19.8204  -17.0744  -12.4398  
1  6  -19.6649  -16.4275  -13.6171  

2  0  -19.8617  -17.2649  -12.001  
2  1  -19.8206  -17.0748  -12.4399  
2  2  -19.8617  -17.2649  -12.001  
2  3  -19.9034  -17.6941  -10.7752  
2  4  -19.9019  -17.9271  -9.82532  
2  5  -19.9033  -17.6937  -10.775  
2  6  -19.8613  -17.2639  -12.0007  

3  0  -19.9165  -17.6587  -10.8681  
3  1  -19.9034  -17.6941  -10.7752  
3  2  -19.9034  -17.6941  -10.7752  
3  3  -19.9165  -17.6587  -10.868  
3  4  -19.9034  -17.694  -10.7751  
3  5  -19.9033  -17.6937  -10.775  
3  6  -19.916  -17.6578  -10.8678  

4  0  -19.8617  -17.2648  -12.0009  
4  1  -19.9034  -17.694  -10.7751  
4  2  -19.9019  -17.9271  -9.82532  
4  3  -19.9034  -17.694  -10.7751  
4  4  -19.8616  -17.2646  -12.0007  
4  5  -19.8203  -17.0743  -12.4396  
4  6  -19.8612  -17.2638  -12.0006  

5  0  -19.6652  -16.4283  -13.6172  
5  1  -19.8204  -17.0744  -12.4398  
5  2  -19.9033  -17.6937  -10.775  
5  3  -19.9033  -17.6937  -10.775  
5  4  -19.8203  -17.0743  -12.4396  
5  5  -19.665  -16.4279  -13.6171  
5  6  -19.6647  -16.4271  -13.617  

6  0  -19.5152  -16.0079  -14.2262  
6  1  -19.6649  -16.4275  -13.6171  
6  2  -19.8613  -17.2639  -12.0007  
6  3  -19.916  -17.6578  -10.8678  
6  4  -19.8612  -17.2638  -12.0006  
6  5  -19.6647  -16.4271  -13.617  
6  6  -19.5147  -16.0065  -14.226  

