#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
33   6.8061426627e-03   2.6548216624e+02   9.3050731952e+03  0.0000000000e+00  -1.0680187602e+03   -3.4729200429e-05   5.2712415975e-01  4.7287584025e-01   2.2641200221e+00
34   6.0057539630e-03   2.6403459457e+02   9.3016041422e+03  0.0000000000e+00  -1.0664471795e+03   -3.5701274511e-05   5.2711068182e-01  4.7288931818e-01   1.8974723142e+00
35   5.3360556097e-03   2.6403459457e+02   9.2986657705e+03  0.0000000000e+00  -1.0651160416e+03   -3.6559307924e-05   5.2713760688e-01  4.7286239312e-01   1.6072337965e+00
36   4.7734858028e-03   2.6403459457e+02   9.2961418180e+03  0.0000000000e+00  -1.0639706241e+03   -3.7336240526e-05   5.2720250043e-01  4.7279749957e-01   1.3785350427e+00
37   4.2997985263e-03   2.6403459457e+02   9.2939393362e+03  0.0000000000e+00  -1.0629674898e+03   -3.8061333400e-05   5.2730444886e-01  4.7269555114e-01   1.1993474393e+00
38   3.9015954996e-03   2.6403459457e+02   9.2919867488e+03  0.0000000000e+00  -1.0620734337e+03   -3.8756479807e-05   5.2744100418e-01  4.7255899582e-01   1.0585313359e+00
39   3.5683055809e-03   2.6403459457e+02   9.2902313541e+03  0.0000000000e+00  -1.0612642661e+03   -3.9436002708e-05   5.2760672781e-01  4.7239327219e-01   9.4622711282e-01
40   3.2904749004e-03   2.6403459457e+02   9.2886353369e+03  0.0000000000e+00  -1.0605229362e+03   -4.0107816077e-05   5.2779349781e-01  4.7220650219e-01   8.5468725784e-01
41   3.0589298755e-03   2.6403459457e+02   9.2871715087e+03  0.0000000000e+00  -1.0598375102e+03   -4.0775338287e-05   5.2799261263e-01  4.7200738737e-01   7.7840221503e-01
42   2.8649673498e-03   2.6403459457e+02   9.2858199561e+03  0.0000000000e+00  -1.0591995489e+03   -4.1439342271e-05   5.2819695369e-01  4.7180304631e-01   7.1359131199e-01
43   2.7014527470e-03   2.6403459457e+02   9.2832226895e+03  0.0000000000e+00  -1.0579850389e+03   -4.1946914875e-05   5.2844612862e-01  4.7155387138e-01   1.3827566616e+00
44   2.4483454633e-03   2.6403459457e+02   9.2807317193e+03  0.0000000000e+00  -1.0568184407e+03   -4.2508460641e-05   5.2862951999e-01  4.7137048001e-01   1.3243719804e+00
45   2.2373714947e-03   2.6403459457e+02   9.2782631307e+03  0.0000000000e+00  -1.0556665449e+03   -4.3024642629e-05   5.2883665171e-01  4.7116334829e-01   1.3166927259e+00
46   2.0337835285e-03   2.6403459457e+02   9.2759841939e+03  0.0000000000e+00  -1.0546046835e+03   -4.3574896255e-05   5.2903928597e-01  4.7096071403e-01   1.2170754205e+00
47   1.8277903815e-03   2.6403459457e+02   9.2739649899e+03  0.0000000000e+00  -1.0536636176e+03   -4.4148534603e-05   5.2924416828e-01  4.7075583172e-01   1.0781381645e+00
48   1.6147539717e-03   2.6403459457e+02   9.2722145593e+03  0.0000000000e+00  -1.0528464517e+03   -4.4736542821e-05   5.2944728977e-01  4.7055271023e-01   9.3326465368e-01
49   1.4089901305e-03   2.6403459457e+02   9.2707175893e+03  0.0000000000e+00  -1.0521459882e+03   -4.5330708885e-05   5.2964979221e-01  4.7035020779e-01   7.9650650910e-01
50   1.2185173165e-03   2.6403459457e+02   9.2694406325e+03  0.0000000000e+00  -1.0515465637e+03   -4.5926981416e-05   5.2984951398e-01  4.7015048602e-01   6.7753227007e-01
51   1.0459914102e-03   2.6403459457e+02   9.2683450580e+03  0.0000000000e+00  -1.0510300071e+03   -4.6522502411e-05   5.3004329863e-01  4.6995670137e-01   5.7901798380e-01
52   8.9229901636e-04   2.6403459457e+02   9.2673940631e+03  0.0000000000e+00  -1.0505789888e+03   -4.7114403656e-05   5.3022872390e-01  4.6977127610e-01   4.9997652888e-01
53   7.5803427639e-04   2.6403459457e+02   9.2665567160e+03  0.0000000000e+00  -1.0501789156e+03   -4.7699826366e-05   5.3040508705e-01  4.6959491295e-01   4.3727392216e-01
54   6.4284116392e-04   2.6403459457e+02   9.2658089983e+03  0.0000000000e+00  -1.0498184415e+03   -4.8275600812e-05   5.3057280636e-01  4.6942719364e-01   3.8724360453e-01
55   5.4522345292e-04   2.6403459457e+02   9.2651323979e+03  0.0000000000e+00  -1.0494888181e+03   -4.8839099364e-05   5.3073270868e-01  4.6926729132e-01   3.4697699316e-01
56   4.6310266014e-04   2.6403459457e+02   9.2645125987e+03  0.0000000000e+00  -1.0491832926e+03   -4.9389076966e-05   5.3088587718e-01  4.6911412282e-01   3.1427367034e-01
57   3.9426964393e-04   2.6403459457e+02   9.2639384849e+03  0.0000000000e+00  -1.0488966584e+03   -4.9925623010e-05   5.3103357896e-01  4.6896642104e-01   2.8747962175e-01
58   3.3660679073e-04   2.6403459457e+02   9.2634014493e+03  0.0000000000e+00  -1.0486249391e+03   -5.0449681367e-05   5.3117712251e-01  4.6882287749e-01   2.6531621766e-01
59   2.8816990224e-04   2.6403459457e+02   9.2628949266e+03  0.0000000000e+00  -1.0483651677e+03   -5.0962585464e-05   5.3131772481e-01  4.6868227519e-01   2.4675134614e-01
60   2.4723548679e-04   2.6403459457e+02   9.2624140218e+03  0.0000000000e+00  -1.0481152058e+03   -5.1465731886e-05   5.3145639811e-01  4.6854360189e-01   2.3094295627e-01
61   2.1233668463e-04   2.6403459457e+02   9.2619551643e+03  0.0000000000e+00  -1.0478735739e+03   -5.1960391353e-05   5.3159387946e-01  4.6840612054e-01   2.1722555139e-01
62   1.8227961912e-04   2.6403459457e+02   9.2615157869e+03  0.0000000000e+00  -1.0476392942e+03   -5.2447626873e-05   5.3173063619e-01  4.6826936381e-01   2.0509775491e-01
63   1.5613707265e-04   2.6403459457e+02   9.2610940555e+03  0.0000000000e+00  -1.0474117576e+03   -5.2928273520e-05   5.3186693096e-01  4.6813306904e-01   1.9419485311e-01
64   1.3151602729e-04   2.6403459457e+02   9.2606524891e+03  0.0000000000e+00  -1.0471746192e+03   -5.3392125272e-05   5.3200416224e-01  4.6799583776e-01   2.0442790553e-01
