#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  6.354093966e-17  0.5199879737  0.8678251552  0.4968697012
0  1  2.266760787e-16  0.2579698519  0.9669098979  0.2551181087
0  2  2.622804622e-16  0.05991356122  0.9982057194  0.05987772301
0  3  2.371539709e-16  0.02852211939  0.9995932719  0.02851825237
0  4  -1.740048985e-16  0.1504949178  0.9886969972  0.1499274746
0  5  -2.433674936e-16  0.362887826  0.9348756159  0.3549754678
0  6  -2.433674936e-16  0.362887826  0.9348756159  0.3549754678

1  0  7.408665965e-17  0.2180641673  0.9763180765  0.2163400412
1  1  4.262466524e-17  0.3319853852  0.9453971292  0.325920647
1  2  3.23266841e-16  0.2258307513  0.9746084248  0.2239160965
1  3  1.597815091e-16  0.1311299901  0.9914147754  0.1307545147
1  4  -3.563962947e-16  0.2421494278  0.9708248068  0.2397898966
1  5  6.812596608e-17  0.1046398747  0.994530242  0.1044490201
1  6  6.812596608e-17  0.1046398747  0.994530242  0.1044490201

2  0  1.035066281e-16  0.1039262282  0.9946045284  0.1037392505
2  1  -1.98855997e-16  0.2466251764  0.9697418472  0.2441326481
2  2  -3.532372013e-16  -0.04057431398  0.9991769754  -0.04056318215
2  3  -1.041302629e-16  0.01928784213  0.9998139953  0.01928664623
2  4  -3.934996629e-18  0.1189651543  0.9929319879  0.1186847396
2  5  -4.053434127e-16  0.03514714101  0.9993824028  0.03513990512
2  6  -4.053434127e-16  0.03514714101  0.9993824028  0.03513990512

3  0  -2.479292991e-16  -0.0160677468  0.9998709165  -0.01606705544
3  1  -3.708491254e-16  0.1465943727  0.9892742735  0.1460698866
3  2  1.269453698e-16  0.0005938657777  0.9999998237  0.0005938657428
3  3  -1.567605865e-16  0.05977753526  0.9982138551  0.05974194057
3  4  -1.926270586e-16  0.1499198002  0.9887830597  0.1493588328
3  5  -1.242567538e-17  0.1202054939  0.9927840148  0.1199162208
3  6  -1.242567538e-17  0.1202054939  0.9927840148  0.1199162208

4  0  -4.37407601e-16  0.3101606466  0.952284551  0.3052116217
4  1  8.370412823e-17  0.1913770214  0.9817432414  0.1902109563
4  2  -1.394132061e-16  0.09110090697  0.9958531816  0.09097494581
4  3  -1.662895344e-16  0.2473479789  0.9695651342  0.2448335161
4  4  3.956770012e-17  0.2543325908  0.9678314311  0.2515995251
4  5  1.531601092e-16  0.3419656483  0.9420973263  0.3353395708
4  6  1.531601092e-16  0.3419656483  0.9420973263  0.3353395708

5  0  5.962779839e-17  0.4480916897  0.9012755115  0.4332464107
5  1  1.350849676e-16  0.1234770739  0.992386387  0.1231635457
5  2  -1.014222598e-16  -0.006891743315  0.999976252  -0.00689168876
5  3  1.788120892e-16  0.04473497272  0.998999558  0.04472005348
5  4  3.739408164e-17  0.2428455899  0.9706576389  0.2404656898
5  5  7.474770289e-17  0.5136577368  0.8709530495  0.4913662438
5  6  7.474770289e-17  0.5136577368  0.8709530495  0.4913662438

6  0  5.962779839e-17  0.4480916897  0.8709530495  0.4913662438
6  1  8.370412823e-17  0.1913770214  0.8709530495  0.4913662438
6  2  1.269453698e-16  0.0005938657777  0.8709530495  0.4913662438
6  3  -1.041302629e-16  0.01928784213  0.8709530495  0.4913662438
6  4  -3.563962947e-16  0.2421494278  0.8709530495  0.4913662438
6  5  -2.433674936e-16  0.362887826  0.8709530495  0.4913662438
6  6  -2.433674936e-16  0.362887826  0.8709530495  0.4913662438

#Chern no*2pi*Iota= -1.214307236e-15  6.380176508
