#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
0   0.146367   5.3096860309e+01   1.0415599941e+03  0.0000000000e+00  9.2573128948e+02   1.4212389068e-05   1.4350588674e+00  1.5649411326e+00   1.9672912836e+03
1   4.4824468192e-02   5.4486710272e+01   1.2295895468e+03  0.0000000000e+00  -7.7622311668e+01   2.8499004759e-06   1.4714346050e+00  1.5285653950e+00   8.1532404849e+02
2   6.8836432693e-02   3.5765842303e+01   7.8126528475e+02  0.0000000000e+00  -1.3809820745e+02   -8.3082313350e-08   1.4462825473e+00  1.5537174527e+00   5.0880015780e+02
3   6.7469757929e-02   5.0014073203e+01   1.1479852688e+03  0.0000000000e+00  -2.7948526103e+02   7.1003331937e-07   1.4473085283e+00  1.5526914717e+00   2.2533293050e+02
4   6.1444849038e-02   5.3340841269e+01   1.2326721319e+03  0.0000000000e+00  -3.4690418417e+02   5.2661150979e-07   1.4450178038e+00  1.5549821962e+00   1.7267939938e+01
5   5.4121999037e-02   5.4257854511e+01   1.2618350372e+03  0.0000000000e+00  -3.9502972660e+02   3.1403694486e-07   1.4425525727e+00  1.5574474273e+00   1.8962637168e+01
6   4.6885926011e-02   5.4257854511e+01   1.2736883064e+03  0.0000000000e+00  -4.2655808370e+02   1.7575541895e-07   1.4402761589e+00  1.5597238411e+00   1.9675087898e+01
7   4.0635483289e-02   5.5081164206e+01   1.2790824017e+03  0.0000000000e+00  -4.4707009318e+02   9.2931392139e-08   1.4379233790e+00  1.5620766210e+00   1.5117914136e+01
8   3.5480737690e-02   5.5081164206e+01   1.2817852044e+03  0.0000000000e+00  -4.6072994860e+02   4.3085459142e-08   1.4353000869e+00  1.5646999131e+00   1.0957052757e+01
9   3.1279419097e-02   5.5081164206e+01   1.2832661283e+03  0.0000000000e+00  -4.7012356728e+02   1.2224978566e-08   1.4322801139e+00  1.5677198861e+00   7.9126947867e+00
10   2.7848310282e-02   5.5081164206e+01   1.2841470213e+03  0.0000000000e+00  -4.7679754233e+02   -7.4700027704e-09   1.4287757069e+00  1.5712242931e+00   5.7930819872e+00
11   2.5025074608e-02   5.5081164206e+01   1.2847094355e+03  0.0000000000e+00  -4.8168356411e+02   -2.0331232496e-08   1.4247227954e+00  1.5752772046e+00   4.3236075653e+00
12   2.2679736997e-02   5.5081164206e+01   1.2850891340e+03  0.0000000000e+00  -4.8535630833e+02   -2.8820666843e-08   1.4200738161e+00  1.5799261839e+00   3.2930457381e+00
13   2.0711643152e-02   5.5081164206e+01   1.2853558227e+03  0.0000000000e+00  -4.8818076555e+02   -3.4393966805e-08   1.4147934159e+00  1.5852065841e+00   2.5577685048e+00
14   1.9043522548e-02   5.5081164206e+01   1.2855476331e+03  0.0000000000e+00  -4.9039584111e+02   -3.7950051783e-08   1.4088553791e+00  1.5911446209e+00   2.0232651663e+00
15   1.7615987551e-02   5.5081164206e+01   1.2856867570e+03  0.0000000000e+00  -4.9216247481e+02   -4.0067570206e-08   1.4022403416e+00  1.5977596584e+00   1.6275098769e+00
16   1.6383156524e-02   5.5081164206e+01   1.2857868623e+03  0.0000000000e+00  -4.9359198750e+02   -4.1132648868e-08   1.3949342485e+00  1.6050657515e+00   1.3294073094e+00
17   1.5309339179e-02   5.5081164206e+01   1.2858567762e+03  0.0000000000e+00  -4.9476322986e+02   -4.1410423285e-08   1.3869276081e+00  1.6130723919e+00   1.1013285302e+00
18   1.4366565999e-02   5.5081164206e+01   1.2859024039e+03  0.0000000000e+00  -4.9573324438e+02   -4.1086785556e-08   1.3782156077e+00  1.6217843923e+00   9.2438680148e-01
19   1.3532752190e-02   5.5081164206e+01   1.2859277855e+03  0.0000000000e+00  -4.9654407329e+02   -4.0293890503e-08   1.3687991380e+00  1.6312008620e+00   7.8544734707e-01
20   1.2790329516e-02   5.5081164206e+01   1.2859357125e+03  0.0000000000e+00  -4.9722721706e+02   -3.9126535069e-08   1.3586867467e+00  1.6413132533e+00   6.7521675650e-01
21   1.2125221045e-02   5.5081164206e+01   1.2859281152e+03  0.0000000000e+00  -4.9780662467e+02   -3.7653247875e-08   1.3478975087e+00  1.6521024913e+00   5.8700490026e-01
22   1.0933052119e-02   5.5081164206e+01   1.2864008064e+03  0.0000000000e+00  -5.0030582285e+02   -3.9523797152e-08   1.3311904461e+00  1.6688095539e+00   2.0265069943e+00
23   8.4714645224e-03   5.5081164206e+01   1.2741780221e+03  0.0000000000e+00  -4.9038702184e+02   -2.4420394970e-08   1.3051628636e+00  1.6948371364e+00   2.3039832656e+00
24   6.8205471482e-03   5.5081164206e+01   1.2774114904e+03  0.0000000000e+00  -4.9398402396e+02   -2.1413769631e-08   1.2833893685e+00  1.7166106315e+00   3.6353383325e-01
25   5.5329891248e-03   5.5081164206e+01   1.2808813491e+03  0.0000000000e+00  -4.9767227693e+02   -2.0012939683e-08   1.2627012090e+00  1.7372987910e+00   2.1839427469e-01
26   4.4832685103e-03   5.5081164206e+01   1.2830476664e+03  0.0000000000e+00  -5.0005180470e+02   -1.8318374210e-08   1.2430265271e+00  1.7569734729e+00   2.1321047320e-01
27   3.6368403000e-03   5.5081164206e+01   1.2841839968e+03  0.0000000000e+00  -5.0139478312e+02   -1.6339502695e-08   1.2247244476e+00  1.7752755524e+00   2.0664797894e-01
28   2.9665634319e-03   5.5081164206e+01   1.2846950210e+03  0.0000000000e+00  -5.0209645286e+02   -1.4314243300e-08   1.2081592006e+00  1.7918407994e+00   1.9064555353e-01
29   2.4427309859e-03   5.5081164206e+01   1.2848647686e+03  0.0000000000e+00  -5.0243633615e+02   -1.2407943443e-08   1.1935652713e+00  1.8064347287e+00   1.7013568707e-01
30   2.0360587271e-03   5.5081164206e+01   1.2848624962e+03  0.0000000000e+00  -5.0258261767e+02   -1.0700076553e-08   1.1810092090e+00  1.8189907910e+00   1.4855393340e-01
31   1.7205725188e-03   5.5081164206e+01   1.2847819891e+03  0.0000000000e+00  -5.0262975085e+02   -9.2147723517e-09   1.1704097107e+00  1.8295902893e+00   1.2764030388e-01
32   1.4748079290e-03   5.5081164206e+01   1.2846726194e+03  0.0000000000e+00  -5.0262868702e+02   -7.9461400193e-09   1.1615858083e+00  1.8384141917e+00   1.0830584445e-01
33   1.2818367191e-03   5.5081164206e+01   1.2845589049e+03  0.0000000000e+00  -5.0260601106e+02   -6.8739417773e-09   1.1543076105e+00  1.8456923895e+00   9.1038554222e-02
34   1.1287179363e-03   5.5081164206e+01   1.2844519079e+03  0.0000000000e+00  -5.0257505569e+02   -5.9725505807e-09   1.1483355096e+00  1.8516644904e+00   7.6041557431e-02
