#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -8.271734851e-17  -1.905354411  -0.3283517875  -0.9445555058
0  1  1.119940585e-16  0.2083080561  0.9783822171  0.2068048288
0  2  1.512266631e-16  0.05244207141  0.9986252297  0.05241803727
0  3  -4.826650726e-17  -0.04142372697  0.9991421601  -0.04141188132
0  4  1.818121729e-16  0.1954705128  0.9809563913  0.194228109
0  5  -3.941445054e-17  -0.8631899159  0.6500166988  -0.7599199243
0  6  -3.941445054e-17  -0.8631899159  0.6500166988  -0.7599199243

1  0  -7.937242874e-17  0.2083080561  0.9783822171  0.2068048288
1  1  3.588343036e-16  0.2376442597  0.9718952448  0.235413749
1  2  2.727482044e-16  0.156240615  0.9878192442  0.1556057221
1  3  -1.694427065e-16  -0.5889092987  0.8315470084  -0.5554543841
1  4  3.074791083e-16  0.0852067849  0.9963720976  0.08510371933
1  5  2.314434979e-17  0.195470434  0.9809564066  0.1942280317
1  6  2.314434979e-17  0.195470434  0.9809564066  0.1942280317

2  0  -2.271138757e-16  0.05244207141  0.9986252297  0.05241803727
2  1  1.110659374e-16  0.156240615  0.9878192442  0.1556057221
2  2  8.239922196e-17  -0.04841263018  0.9988283375  -0.04839372095
2  3  1.342269435e-16  -0.6117411924  0.8186493034  -0.5742937559
2  4  -4.696831575e-17  -0.5889093268  0.8315469928  -0.5554544074
2  5  -1.125151003e-16  -0.04142329702  0.9991421779  -0.04141145173
2  6  -1.125151003e-16  -0.04142329702  0.9991421779  -0.04141145173

3  0  -6.601340596e-17  -0.04142372697  0.9991421601  -0.04141188132
3  1  -4.06576177e-16  -0.5889092987  0.8315470084  -0.5554543841
3  2  -2.838040566e-17  -0.6117411924  0.8186493034  -0.5742937559
3  3  -1.532904424e-17  -0.04841265054  0.9988283365  -0.04839374128
3  4  -4.931548991e-16  0.1562405908  0.987819248  0.1556056982
3  5  -3.317824676e-17  0.05244200987  0.9986252329  0.05241797581
3  6  -3.317824676e-17  0.05244200987  0.9986252329  0.05241797581

4  0  3.240630584e-16  0.1954705128  0.9809563913  0.194228109
4  1  2.495454597e-16  0.0852067849  0.9963720976  0.08510371933
4  2  -2.997378217e-16  -0.5889093267  0.8315469928  -0.5554544074
4  3  2.023487693e-16  0.1562405908  0.987819248  0.1556056982
4  4  2.924119358e-17  0.2376443317  0.9718952278  0.235413819
4  5  -8.736590797e-17  0.2083080312  0.9783822223  0.2068048045
4  6  -8.736590797e-17  0.2083080312  0.9783822223  0.2068048045

5  0  3.797188153e-17  -0.8631899159  0.6500166988  -0.7599199243
5  1  2.527476824e-16  0.195470434  0.9809564066  0.1942280317
5  2  -5.060731311e-16  -0.04142329702  0.9991421779  -0.04141145173
5  3  1.202857897e-16  0.05244200987  0.9986252329  0.05241797581
5  4  3.567464522e-16  0.2083080312  0.9783822223  0.2068048045
5  5  3.183480044e-16  -1.905354602  -0.3283519685  -0.944555443
5  6  3.183480044e-16  -1.905354602  -0.3283519685  -0.944555443

6  0  3.797188153e-17  -0.8631899159  -0.3283519685  -0.944555443
6  1  2.495454597e-16  0.0852067849  -0.3283519685  -0.944555443
6  2  -2.838040566e-17  -0.6117411924  -0.3283519685  -0.944555443
6  3  1.342269435e-16  -0.6117411924  -0.3283519685  -0.944555443
6  4  3.074791083e-16  0.0852067849  -0.3283519685  -0.944555443
6  5  -3.941445054e-17  -0.8631899159  -0.3283519685  -0.944555443
6  6  -3.941445054e-17  -0.8631899159  -0.3283519685  -0.944555443

#Chern no*2pi*Iota= 8.846094819e-16  -6.283181005
