#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  9.80967896e-17  0.0008975537378  0.9999995972  0.0008975536173
0  1  1.18482963e-16  0.000412511861  0.9999999149  0.0004125118493
0  2  -3.672531989e-17  -0.000587536785  0.9999998274  -0.0005875367512
0  3  3.600316131e-16  -0.001857918626  0.9999982741  -0.001857917557
0  4  -7.166431627e-17  -0.003123619403  0.9999951215  -0.003123614324
0  5  9.936055133e-17  -0.004105158756  0.9999915738  -0.004105147225
0  6  -3.891732885e-16  -0.004510589441  0.9999898273  -0.004510574146
0  7  -1.117757473e-16  -0.004115946764  0.9999915295  -0.004115935142
0  8  2.942823174e-16  -0.00299245596  0.9999955226  -0.002992451494
0  9  1.135447225e-16  -0.001579278646  0.9999987529  -0.001579277989
0  10  -1.192447852e-16  -0.0003212033598  0.9999999484  -0.0003212033543
0  11  -7.332461142e-17  0.0006910449862  0.9999997612  0.0006910449312
0  12  -2.37045128e-16  0.001716881492  0.9999985262  0.001716880648
0  13  -1.882161083e-16  0.003276579536  0.999994632  0.003276573673
0  14  -1.583750696e-16  0.006088589003  0.9999814646  0.006088551385
0  15  1.272104113e-16  0.01027984914  0.9999471628  0.01027966809
0  16  4.578122131e-16  0.01366698052  0.9999066083  0.01366655505
0  17  -4.49553105e-17  0.0145857623  0.9998936297  0.01458524513
0  18  -3.463374023e-16  0.01461610373  0.9998931867  0.01461558333
0  19  5.35711634e-17  0.01426728341  0.999898224  0.01426679938
0  20  1.673448264e-16  0.01220028373  0.9999255775  0.01219998107
0  21  1.046423972e-16  0.008042427958  0.9999676599  0.00804234126
0  22  3.326438947e-16  0.004464770862  0.9999900329  0.004464756028
0  23  2.68188186e-17  0.002378872566  0.9999971705  0.002378870323
0  24  -1.916836999e-16  0.001170818674  0.9999993146  0.001170818406
0  25  -6.778367401e-17  0.0002026807573  0.9999999795  0.0002026807559
0  26  -6.536773187e-17  -0.0009183548598  0.9999995783  -0.0009183547307
0  27  -3.267530463e-16  -0.00229170503  0.999997374  -0.002291703024
0  28  2.474146507e-17  -0.003627724165  0.9999934198  -0.003627716208
0  29  3.078739651e-16  -0.004420122248  0.9999902313  -0.004420107855
0  30  -1.107936006e-16  -0.004394369806  0.9999903448  -0.004394355663
0  31  -1.935263897e-16  -0.00366017113  0.9999933016  -0.003660162957
0  32  -1.278304854e-16  -0.002498331004  0.9999968792  -0.002498328405
0  33  -2.244965691e-16  -0.00119578556  0.999999285  -0.001195785275
0  34  -2.036515407e-16  -2.886086107e-05  0.9999999996  -2.886086107e-05
0  35  -2.974724519e-16  0.0007353039065  0.9999997297  0.0007353038402
0  36  -2.974724519e-16  0.0007353039065  0.9999997297  0.0007353038402

1  0  -2.146869616e-16  0.000412511861  0.9999999149  0.0004125118493
1  1  2.480404794e-16  0.0002519696468  0.9999999683  0.0002519696441
1  2  3.305297092e-16  -0.0004682832819  0.9999998904  -0.0004682832648
1  3  4.895963951e-16  -0.001572645589  0.9999987634  -0.00157264494
1  4  2.779938528e-16  -0.002827192061  0.9999960035  -0.002827188295
1  5  1.621979149e-18  -0.003988392238  0.9999920464  -0.003988381664
1  6  -4.078788092e-16  -0.004789136759  0.9999885321  -0.004789118452
1  7  -1.78415662e-16  -0.004926422626  0.9999878652  -0.004926402699
1  8  -3.681029341e-17  -0.004203224017  0.9999911665  -0.004203211641
1  9  7.987320105e-17  -0.002808806741  0.9999960553  -0.002808803048
1  10  9.605512488e-17  -0.001278766624  0.9999991824  -0.001278766275
1  11  3.811172452e-16  -3.383595119e-06  1  -3.383595119e-06
1  12  -2.934730146e-16  0.001061026157  0.9999994371  0.001061025958
1  13  -5.021655373e-16  0.002305855422  0.9999973415  0.002305853379
1  14  -9.314588149e-17  0.004383994917  0.9999903903  0.004383980874
1  15  -9.91532271e-17  0.007944040032  0.9999684463  0.007943956477
1  16  9.845850246e-17  0.01216634463  0.9999259909  0.01216604449
1  17  2.276307196e-16  0.01434216236  0.999897153  0.01434167067
1  18  1.062527279e-16  0.01458920555  0.9998935794  0.01458868802
1  19  -1.283822283e-16  0.01437970398  0.9998966138  0.01437920843
1  20  -1.539851027e-16  0.01334979815  0.9999108928  0.01334940162
1  21  -2.374799379e-16  0.009963577817  0.999950364  0.009963412966
1  22  -3.143250349e-17  0.005883778744  0.9999826906  0.005883744796
1  23  -3.242942491e-16  0.003154770279  0.9999950237  0.003154765046
1  24  7.926234277e-17  0.001607256437  0.9999987084  0.001607255745
1  25  -8.688855533e-17  0.000525601939  0.9999998619  0.0005256019148
1  26  -1.095086471e-16  -0.0006106575199  0.9999998135  -0.000610657482
1  27  2.994435841e-16  -0.002036006296  0.9999979273  -0.002036004889
1  28  2.915384901e-16  -0.003571939277  0.9999936206  -0.003571931682
1  29  3.913223607e-17  -0.00468209569  0.999989039  -0.004682078584
1  30  3.617813993e-17  -0.00495596538  0.9999877192  -0.004955945092
1  31  -9.279632691e-17  -0.004434075204  0.9999901695  -0.004434060674
1  32  1.439101876e-16  -0.003406629141  0.9999941974  -0.003406622552
1  33  -2.69489515e-17  -0.002164802818  0.9999976568  -0.002164801127
1  34  -3.243758863e-17  -0.0009588560317  0.9999995403  -0.0009588558848
1  35  -2.02740747e-16  -2.886086111e-05  0.9999999996  -2.88608611e-05
1  36  -2.02740747e-16  -2.886086111e-05  0.9999999996  -2.88608611e-05

2  0  -1.3477505e-16  -0.000587536785  0.9999998274  -0.0005875367512
2  1  1.137686008e-16  -0.0004682832819  0.9999998904  -0.0004682832648
2  2  3.112434558e-16  -0.000865382201  0.9999996256  -0.000865382093
2  3  4.463194692e-16  -0.001690321613  0.9999985714  -0.001690320808
2  4  1.740144028e-17  -0.002783602138  0.9999961258  -0.002783598543
2  5  -3.091761318e-17  -0.003970105274  0.9999921191  -0.003970094845
2  6  7.592472259e-17  -0.005063480542  0.9999871806  -0.005063458905
2  7  6.058749277e-17  -0.005804073081  0.9999831564  -0.005804040493
2  8  -1.516742498e-16  -0.005819689588  0.9999830657  -0.005819656737
2  9  1.134661553e-16  -0.004835645383  0.9999883083  -0.004835626538
2  10  1.601705551e-16  -0.003099625553  0.9999951962  -0.003099620589
2  11  1.486458393e-16  -0.001293612623  0.9999991633  -0.001293612262
2  12  -8.376204737e-17  0.0001633789833  0.9999999867  0.0001633789825
2  13  -2.945026042e-17  0.001419046698  0.9999989932  0.001419046222
2  14  3.288877717e-16  0.003016808883  0.9999954494  0.003016804307
2  15  -1.767574454e-16  0.005725448569  0.9999836097  0.005725417288
2  16  -3.020231196e-17  0.009843300692  0.9999515551  0.009843141739
2  17  -9.609825568e-17  0.013471049  0.9999092668  0.01347064158
2  18  1.202405757e-16  0.01455907039  0.9998940186  0.01455855606
2  19  -1.024728151e-16  0.01441794002  0.9998960633  0.0144174405
2  20  1.576597671e-17  0.01386647717  0.9999038619  0.0138660328
2  21  -1.275066496e-16  0.01155003486  0.9999332991  0.01154977806
2  22  -1.336260529e-16  0.00745954365  0.9999721777  0.00745947447
2  23  -2.192585291e-17  0.004095209783  0.9999916146  0.004095198337
2  24  3.438751307e-16  0.002088128469  0.9999978199  0.002088126952
2  25  2.671309911e-16  0.0007661865683  0.9999997065  0.0007661864934
2  26  3.425931348e-16  -0.0005333595678  0.9999998578  -0.0005333595425
2  27  2.968354058e-16  -0.002178829836  0.9999976264  -0.002178828112
2  28  9.028165258e-17  -0.004044058843  0.9999918228  -0.00404404782
2  29  -1.421519513e-16  -0.00547943903  0.9999849879  -0.005479411611
2  30  3.297383355e-17  -0.0059338945  0.9999823945  -0.005933859677
2  31  1.066993583e-16  -0.005476232696  0.9999850055  -0.005476205324
2  32  1.049831411e-16  -0.004498038902  0.9999898838  -0.004498023734
2  33  -5.09736533e-17  -0.003323958802  0.9999944757  -0.003323952681
2  34  5.795642354e-16  -0.002164802818  0.9999976568  -0.002164801127
2  35  -2.032551556e-16  -0.00119578556  0.999999285  -0.001195785275
2  36  -2.032551556e-16  -0.00119578556  0.999999285  -0.001195785275

3  0  -7.559974856e-17  -0.001857918626  0.9999982741  -0.001857917557
3  1  -3.044075321e-16  -0.001572645588  0.9999987634  -0.00157264494
3  2  -1.461555455e-16  -0.001690321613  0.9999985714  -0.001690320808
3  3  -9.023455624e-17  -0.002189648333  0.9999976027  -0.002189646583
3  4  -6.192573585e-17  -0.002993123235  0.9999955206  -0.002993118766
3  5  8.763359426e-17  -0.004009185691  0.9999919632  -0.00400917495
3  6  -2.071664112e-16  -0.005158822929  0.9999866933  -0.005158800046
3  7  9.452737148e-17  -0.006339357633  0.9999799063  -0.006339315172
3  8  -1.725267522e-16  -0.007294471761  0.9999733955  -0.007294407072
3  9  -1.167526056e-16  -0.007477083767  0.9999720467  -0.007477014098
3  10  1.337845397e-16  -0.006315297268  0.9999800586  -0.00631525529
3  11  1.024357495e-16  -0.004026686105  0.9999918929  -0.004026675223
3  12  3.237081221e-16  -0.001634444819  0.9999986643  -0.001634444092
3  13  -5.512117651e-17  0.0002341782403  0.9999999726  0.0002341782382
3  14  -1.776697671e-16  0.001831631364  0.9999983226  0.00183163034
3  15  -2.381750964e-16  0.00391257279  0.9999923459  0.003912562808
3  16  1.816454525e-17  0.007303324706  0.9999733308  0.007303259781
3  17  9.210472257e-17  0.01164504658  0.9999321972  0.01164478339
3  18  -2.256367763e-16  0.01434894358  0.9998970557  0.01434845119
3  19  3.545112355e-17  0.01465659219  0.9998925941  0.01465606745
3  20  1.487682059e-16  0.01422720943  0.999898795  0.01422672947
3  21  3.740135902e-17  0.01275538995  0.9999186511  0.01275504407
3  22  -3.112093079e-16  0.009100577062  0.99995859  0.009100451443
3  23  9.285024848e-17  0.005231775556  0.9999863143  0.005231751689
3  24  1.639961977e-16  0.002672051026  0.9999964301  0.002672047846
3  25  -5.942761183e-17  0.0009853252119  0.9999995146  0.0009853250524
3  26  5.404763685e-17  -0.0006531533248  0.9999997867  -0.0006531532783
3  27  2.079286036e-16  -0.002795120546  0.9999960937  -0.002795116907
3  28  1.388377928e-17  -0.005291875222  0.9999859981  -0.005291850523
3  29  -3.614969332e-16  -0.007137664819  0.999974527  -0.007137604213
3  30  1.195120984e-16  -0.007553640738  0.9999714714  -0.007553568906
3  31  -1.79504474e-16  -0.006846351536  0.9999765638  -0.006846298052
3  32  1.509429023e-16  -0.005694871664  0.9999837843  -0.005694840882
3  33  5.598138521e-17  -0.004498038902  0.9999898838  -0.004498023734
3  34  2.462024211e-16  -0.003406629141  0.9999941974  -0.003406622552
3  35  1.905347635e-16  -0.002498331004  0.9999968792  -0.002498328405
3  36  1.905347635e-16  -0.002498331004  0.9999968792  -0.002498328405

4  0  -2.482348872e-16  -0.003123619403  0.9999951215  -0.003123614324
4  1  -1.11399826e-16  -0.002827192061  0.9999960035  -0.002827188295
4  2  3.619015935e-16  -0.002783602138  0.9999961258  -0.002783598543
