#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
0   0.351681   5.8182164744e+02   6.3713303755e+03  0.0000000000e+00  -4.0798289831e+02   2.9297771188e-06   1.6621706845e+00  1.3378293155e+00   5.9633474772e+03
1   9.9717915296e-02   5.9776339537e+02   6.6351868823e+03  0.0000000000e+00  -1.2743936003e+03   2.3471041440e-06   1.6490735150e+00  1.3509264850e+00   6.0255419515e+02
2   1.0003639886e-01   4.4374526634e+02   5.1274780131e+03  0.0000000000e+00  -4.3575395937e+02   1.6582969892e-07   1.6373288908e+00  1.3626711092e+00   6.6906922825e+02
3   2.4680940161e-02   5.5792055930e+02   6.3222119695e+03  0.0000000000e+00  -1.1812194862e+03   1.0705858523e-06   1.6217409065e+00  1.3782590935e+00   4.4926842956e+02
4   1.3848344651e-02   5.7445375640e+02   6.6046472254e+03  0.0000000000e+00  -1.4311652417e+03   1.2134555959e-06   1.6181369343e+00  1.3818630657e+00   3.2489500406e+01
5   2.1913616962e-03   5.8887695577e+02   6.7038488448e+03  0.0000000000e+00  -1.5402573339e+03   1.1409414759e-06   1.6161263027e+00  1.3838736973e+00   9.8904727483e+00
6   1.3625689075e-02   5.8887695577e+02   6.7455836530e+03  0.0000000000e+00  -1.5957572373e+03   1.0235287535e-06   1.6158780031e+00  1.3841219969e+00   1.3765095253e+01
7   2.0732063229e-02   5.8887695577e+02   6.7653407366e+03  0.0000000000e+00  -1.6273217815e+03   9.0994347648e-07   1.6173119671e+00  1.3826880329e+00   1.1807460591e+01
8   2.4789839964e-02   5.8887695577e+02   6.7756096604e+03  0.0000000000e+00  -1.6469513514e+03   8.1310641519e-07   1.6201541186e+00  1.3798458814e+00   9.3606461379e+00
9   2.6853503875e-02   5.8887695577e+02   6.7814043442e+03  0.0000000000e+00  -1.6600763599e+03   7.3465577059e-07   1.6240882689e+00  1.3759117311e+00   7.3303247762e+00
10   2.7651358799e-02   5.8887695577e+02   6.7849280721e+03  0.0000000000e+00  -1.6693748386e+03   6.7265857779e-07   1.6288286356e+00  1.3711713644e+00   5.7747507947e+00
