#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -6.178163855e-17  2.556044683  -0.8334093719  0.5526561489
0  1  1.470204e-16  -0.6946266747  0.7682927204  -0.640098661
0  2  1.365483413e-16  -0.2756863105  0.9622386055  -0.2722073955
0  3  1.509890061e-16  -0.2359190573  0.9722999346  -0.2337366834
0  4  1.509890061e-16  -0.2359190573  0.9722999346  -0.2337366834

1  0  -4.843599075e-17  -0.2599951919  0.9663912142  -0.2570759054
1  1  7.974891093e-17  -0.1267935889  0.9919724562  -0.1264541266
1  2  -2.371405852e-17  1.935423014  -0.3566005491  0.9342569499
1  3  -2.066356032e-16  -0.1907784062  0.9818569287  -0.1896232359
1  4  -2.066356032e-16  -0.1907784062  0.9818569287  -0.1896232359

2  0  7.761889658e-17  -0.2976166332  0.9560381082  -0.2932424522
2  1  2.172035229e-17  2.016719936  -0.4312913561  0.9022127056
2  2  -1.023586759e-16  2.877287063  -0.9652741406  0.2612390353
2  3  -3.026524822e-16  -0.4682661532  0.8923521831  -0.4513397626
2  4  -3.026524822e-16  -0.4682661532  0.8923521831  -0.4513397626

3  0  7.619100763e-18  1.115264846  0.43993966  0.8980273357
3  1  3.106181059e-16  -0.1254171768  0.9921455695  -0.1250886444
3  2  1.512706096e-16  -0.3883980931  0.9255168993  -0.3787063098
3  3  -3.980279332e-17  -0.1223086137  0.9925296212  -0.1220038978
3  4  -3.980279332e-17  -0.1223086137  0.9925296212  -0.1220038978

4  0  7.619100763e-18  1.115264846  0.9925296212  -0.1220038978
4  1  2.172035229e-17  2.016719936  0.9925296212  -0.1220038978
4  2  -2.371405852e-17  1.935423014  0.9925296212  -0.1220038978
4  3  1.509890061e-16  -0.2359190573  0.9925296212  -0.1220038978
4  4  1.509890061e-16  -0.2359190573  0.9925296212  -0.1220038978

#Chern no*2pi*Iota= 2.977724811e-16  7.314933643
