#k_sublattice  row_val   col_val  value.real  value.imag
2  5  6  0.158251  -0.0147456
2  5  7  -0.0115062  -0.00059039
2  6  0  0.162356  0.112113
2  6  1  0.0234445  0.0165705
2  6  2  0.0573482  0.032682
2  6  3  0.1364  0.103457
2  6  4  -0.0233678  -0.00188056
2  6  5  0.158251  0.0147456
2  6  6  0.387292  -1.6236e-18
2  6  7  -0.0256878  -0.00341312
2  7  0  0.0255147  0.0132489
2  7  1  0.153249  0.0792536
2  7  2  0.158717  0.0640466
2  7  3  0.0589808  0.0335501
2  7  4  0.158784  -0.00694346
2  7  5  -0.0115062  0.00059039
2  7  6  -0.0256878  0.00341312
2  7  7  0.36478  -2.12306e-18
3  0  0  0.431203  -8.76128e-18
3  0  1  0.116017  -0.00499532
3  0  2  0.135382  -0.00581053
3  0  3  0.186133  0.0169335
3  0  4  0.0581869  -0.0331212
3  0  5  0.146048  -0.0910556
3  0  6  0.156798  -0.0978701
3  0  7  0.0265787  -0.0123989
3  1  0  0.116017  0.00499532
3  1  1  0.431271  -2.29288e-18
3  1  2  0.180506  -6.85152e-05
3  1  3  0.134322  0.0178616
3  1  4  0.153055  -0.0787073
3  1  5  0.0581515  -0.0331052
3  1  6  0.0244664  -0.0139038
3  1  7  0.17145  -0.0690521
3  2  0  0.135382  0.00581053
3  2  1  0.180506  6.85152e-05
3  2  2  0.431272  2.38662e-19
3  2  3  0.115111  0.0152905
3  2  4  0.164416  -0.0844469
3  2  5  0.0244312  -0.0139644
3  2  6  0.0581508  -0.0331058
3  2  7  0.159678  -0.0642139
3  3  0  0.186133  -0.0169335
3  3  1  0.134322  -0.0178616
3  3  2  0.115111  -0.0152905
3  3  3  0.431207  -1.93474e-18
3  3  4  0.0242118  -0.0165413
3  3  5  0.147193  -0.111802
3  3  6  0.137006  -0.10417
3  3  7  0.058183  -0.0331247
3  4  0  0.0581869  0.0331212
3  4  1  0.153055  0.0787073
3  4  2  0.164416  0.0844469
3  4  3  0.0242118  0.0165413
3  4  4  0.375988  3.57522e-18
3  4  5  -0.0263332  0.00087566
3  4  6  -0.0174854  0.000571042
3  4  7  0.162054  0.014975
3  5  0  0.146048  0.0910556
3  5  1  0.0581515  0.0331052
3  5  2  0.0244312  0.0139644
3  5  3  0.147193  0.111802
3  5  4  -0.0263332  -0.00087566
3  5  5  0.376087  -3.93937e-18
3  5  6  0.157329  -9.66192e-05
3  5  7  -0.0173162  -0.00248102
3  6  0  0.156798  0.0978701
3  6  1  0.0244664  0.0139038
3  6  2  0.0581508  0.0331058
3  6  3  0.137006  0.10417
3  6  4  -0.0174854  -0.000571042
3  6  5  0.157329  9.66192e-05
3  6  6  0.376087  -2.40082e-18
3  6  7  -0.026081  -0.00372243
3  7  0  0.0265787  0.0123989
3  7  1  0.17145  0.0690521
3  7  2  0.159678  0.0642139
3  7  3  0.058183  0.0331247
3  7  4  0.162054  -0.014975
3  7  5  -0.0173162  0.00248102
3  7  6  -0.026081  0.00372243
3  7  7  0.375984  4.34882e-18
