#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -5.677588978e-17  -0.1361517288  0.9907456625  -0.135731471
0  1  -7.891117318e-17  -0.1541234037  0.9881464802  -0.1535139528
0  2  -8.754752189e-17  -0.1917315387  0.9816757467  -0.1905589894
0  3  -9.801330065e-17  -0.202061674  0.9796549039  -0.2006894849
0  4  1.283810101e-16  -0.1700174232  0.9855818191  -0.169199521
0  5  -9.887723564e-17  -0.174606817  0.9847949191  -0.1737209464
0  6  -9.887723564e-17  -0.174606817  0.9847949191  -0.1737209464

1  0  -4.589584996e-17  -0.1680326844  0.9859156945  -0.1672430666
1  1  2.841123049e-17  -0.175516534  0.9846364748  -0.1746167591
1  2  -1.623403974e-16  -0.1742325789  0.9848598632  -0.1733523865
1  3  1.175994704e-17  -0.1660620924  0.9862433479  -0.1652999055
1  4  5.092863866e-17  -0.1660667688  0.9862425748  -0.1653045177
1  5  1.215312562e-16  -0.2018868991  0.9796899644  -0.2005182628
1  6  1.215312562e-16  -0.2018868991  0.9796899644  -0.2005182628

2  0  1.975730979e-16  -0.1919269827  0.9816384843  -0.1907508483
2  1  -5.651357501e-17  -0.1826795555  0.9833604417  -0.1816651913
2  2  -3.715618106e-16  -0.187799889  0.9824173686  -0.1866979213
2  3  -9.124611247e-18  -0.1656098929  0.9863179956  -0.16485391
2  4  -2.570924161e-17  -0.1451234472  0.9894880611  -0.1446145804
2  5  4.265017319e-17  -0.1816436157  0.9835481082  -0.1806463918
2  6  4.265017319e-17  -0.1816436157  0.9835481082  -0.1806463918

3  0  2.051619e-16  -0.1857596043  0.9827962405  -0.1846931229
3  1  6.264493299e-17  -0.1471818675  0.9891882875  -0.1466510549
3  2  2.125722457e-16  -0.1676210778  0.9859844493  -0.1668372431
3  3  1.774209198e-16  -0.1963031401  0.9807943317  -0.1950448126
3  4  6.063361663e-17  -0.1715325588  0.9853243277  -0.1706926164
3  5  1.201624149e-17  -0.1949773049  0.9810520668  -0.1937442699
3  6  1.201624149e-17  -0.1949773049  0.9810520668  -0.1937442699

4  0  6.508894048e-17  -0.2003455057  0.979997878  -0.1990079376
4  1  2.011035854e-17  -0.1625180945  0.9868229756  -0.1618036305
4  2  -2.272125051e-16  -0.1772908101  0.9843251067  -0.1763635003
4  3  -4.404109147e-17  -0.2004391655  0.9799792346  -0.1990997231
4  4  -9.962581961e-17  -0.1493593683  0.9888666098  -0.1488046637
4  5  -2.553479518e-16  -0.1806115517  0.983734023  -0.1796312112
4  6  -2.553479518e-16  -0.1806115517  0.983734023  -0.1796312112

5  0  -5.786818542e-17  -0.1566650082  0.9877531172  -0.1560249319
5  1  -1.055992793e-16  -0.160050353  0.98721926  -0.1593679163
5  2  -2.829354024e-16  -0.1988242211  0.9802994916  -0.1975168521
5  3  8.416390909e-17  -0.1892330515  0.9821487913  -0.1881056928
5  4  -1.453200821e-16  -0.1357535697  0.9907996267  -0.135336986
5  5  -2.490126112e-17  -0.1646109109  0.9864821895  -0.163868514
5  6  -2.490126112e-17  -0.1646109109  0.9864821895  -0.163868514

6  0  -5.786818542e-17  -0.1566650082  0.9864821895  -0.163868514
6  1  2.011035854e-17  -0.1625180945  0.9864821895  -0.163868514
6  2  2.125722457e-16  -0.1676210778  0.9864821895  -0.163868514
6  3  -9.124611247e-18  -0.1656098929  0.9864821895  -0.163868514
6  4  5.092863866e-17  -0.1660667688  0.9864821895  -0.163868514
6  5  -9.887723564e-17  -0.174606817  0.9864821895  -0.163868514
6  6  -9.887723564e-17  -0.174606817  0.9864821895  -0.163868514

#Chern no*2pi*Iota= -8.53073767e-16  -6.27435069
