#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -1.110223025e-16  -4.90059382e-16  1  -4.90059382e-16
0  1  2.220446049e-16  9.992007222e-16  1  9.992007222e-16
0  2  -1.110223025e-16  -4.657385588e-14  1  -4.657385588e-14
0  3  2.220446049e-16  -7.105427358e-15  1  -7.105427358e-15
0  4  -1.110223025e-16  -7.068998165e-17  1  -7.068998165e-17
0  5  -2.220446049e-16  -5.637851297e-18  1  -5.637851297e-18
0  6  -2.220446049e-16  -5.637851297e-18  1  -5.637851297e-18

1  0  -4.440892099e-16  -2.905661822e-16  1  -2.905661822e-16
1  1  5.135697203e-30  -3.204901622e-15  1  -3.204901622e-15
1  2  6.162975822e-31  -1.110223025e-15  1  -1.110223025e-15
1  3  1.07920347e-16  3.123840482  -0.9998424343  0.01775123879
1  4  1.375372771e-16  0.001651744896  0.9999986359  0.001651744145
1  5  2.220446049e-16  2.25080371e-16  1  2.25080371e-16
1  6  2.220446049e-16  2.25080371e-16  1  2.25080371e-16

2  0  -2.220446049e-16  -1.019462292e-13  1  -1.019462292e-13
2  1  -2.220446049e-16  -5.632647126e-15  1  -5.632647126e-15
2  2  -1.110223025e-16  1.00525057e-14  1  1.00525057e-14
2  3  1.451794066e-16  0.009114512661  0.9999584631  0.009114386464
2  4  2.250831407e-17  0.006985913622  0.9999755986  0.0069858568
2  5  2.946165001e-31  -7.676151381e-16  1  -7.676151381e-16
2  6  2.946165001e-31  -7.676151381e-16  1  -7.676151381e-16

3  0  2.752928731e-26  -3.141592654  -1  -2.346456363e-13
3  1  -2.524239407e-16  -0.005864875955  0.9999828017  -0.005864842333
3  2  -3.014391146e-16  0.001552701854  0.9999987946  0.00155270123
3  3  1.074345413e-32  1.465841337e-16  1  1.465841337e-16
3  4  2.220446049e-16  -2.683942478e-16  1  -2.683942478e-16
3  5  2.529287685e-33  7.112366252e-17  1  7.112366252e-17
3  6  2.529287685e-33  7.112366252e-17  1  7.112366252e-17

4  0  -1.110223025e-16  -4.162902661e-15  1  -4.162902661e-15
4  1  -2.703180645e-17  0.002561819873  0.9999967185  0.002561817071
4  2  -1.074969528e-16  0.001750354228  0.9999984681  0.001750353334
4  3  9.110228156e-35  1.349831705e-17  1  1.349831705e-17
4  4  4.440892099e-16  -5.637851297e-17  1  -5.637851297e-17
4  5  4.14714407e-33  -9.107298249e-17  1  -9.107298249e-17
4  6  4.14714407e-33  -9.107298249e-17  1  -9.107298249e-17

5  0  2.220446049e-16  3.165870344e-17  1  3.165870344e-17
5  1  2.220446049e-16  2.627238704e-15  1  2.627238704e-15
5  2  7.959507348e-30  -3.989863995e-15  1  -3.989863995e-15
5  3  -1.110223025e-16  6.938893904e-18  1  6.938893904e-18
5  4  1.200790989e-33  -4.90059382e-17  1  -4.90059382e-17
5  5  2.220446049e-16  -9.540979118e-18  1  -9.540979118e-18
5  6  2.220446049e-16  -9.540979118e-18  1  -9.540979118e-18

6  0  2.220446049e-16  3.165870344e-17  1  -9.540979118e-18
6  1  -2.703180645e-17  0.002561819873  1  -9.540979118e-18
6  2  -3.014391146e-16  0.001552701854  1  -9.540979118e-18
6  3  1.451794066e-16  0.009114512661  1  -9.540979118e-18
6  4  1.375372771e-16  0.001651744896  1  -9.540979118e-18
6  5  -2.220446049e-16  -5.637851297e-18  1  -9.540979118e-18
6  6  -2.220446049e-16  -5.637851297e-18  1  -9.540979118e-18

#Chern no*2pi*Iota= -5.320186483e-17  3.447811698e-14
