#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -1.298330457e-16  0.6691040502  0.7843777235  0.6202834731
0  1  -1.618399044e-16  0.05635176394  0.9984126595  0.05632194431
0  2  1.243863735e-17  0.001565600424  0.9999987744  0.001565599784
0  3  -1.592506233e-16  -0.8060013922  0.6923890534  -0.7215243576
0  4  7.42533997e-17  -0.04759518429  0.998867563  -0.04757721675
0  5  2.131481523e-16  0.005856507787  0.9999828507  0.005856474309
0  6  1.030684187e-16  -0.07400129334  0.9972631536  -0.07393377096
0  7  2.597995383e-16  -0.01701053107  0.9998553244  -0.01700971072
0  8  7.742100719e-17  -0.2024705536  0.9795727641  -0.201090029
0  9  1.369720343e-16  -0.9830906774  0.554453091  -0.8322149781
0  10  2.407236534e-16  -0.01169280068  0.99993164  -0.01169253424
0  11  1.870779428e-17  0.002787132181  0.9999961159  0.002787128572
0  12  2.053402148e-18  0.1876738657  0.9824408891  0.1865741124
0  13  -1.488018342e-16  0.4287870156  0.9094707386  0.4157679348
0  14  -1.147404421e-16  0.01495670198  0.9998881506  0.01495614434
0  15  -1.090214515e-16  0.005788970435  0.999983244  0.005788938102
0  16  -1.970330756e-16  0.004165230182  0.9999913254  0.004165218138
0  17  -1.598738745e-16  0.003617847761  0.9999934556  0.003617839869
0  18  -1.963963069e-16  0.003527637644  0.9999937779  0.003527630327
0  19  -2.702182156e-16  0.003828789021  0.9999926702  0.003828779666
0  20  1.685909504e-17  0.004769352049  0.9999886267  0.004769333968
0  21  -4.045724231e-16  0.008021589566  0.9999678272  0.008021503541
0  22  1.975460758e-16  0.05945810745  0.9982328874  0.05942308026
0  23  5.623848157e-17  0.5588485303  0.847866194  0.5302102574
0  24  1.213016486e-17  0.01020093107  0.999947971  0.01020075415
0  25  1.189554851e-16  -0.0005944704987  0.9999998233  -0.0005944704636
0  26  -7.104998976e-17  -0.363680505  0.9345939406  -0.3557164125
0  27  3.668599543e-17  -0.8153838225  0.6855890255  -0.7279887967
0  28  1.080922461e-16  -0.02557531499  0.9996729695  -0.02557252696
0  29  2.064561443e-16  -0.07262366596  0.9973640604  -0.07255984421
0  30  -6.015275733e-17  -0.005853495588  0.9999828683  -0.005853462161
0  31  -1.045704235e-16  -0.001810536148  0.999998361  -0.001810535159
0  32  3.527987833e-16  -0.7151794533  0.7549755763  -0.6557529101
0  33  1.106446775e-16  -0.1376966649  0.9905347838  -0.1372619473
0  34  -2.624425322e-16  0.0215674917  0.9997674307  0.0215658197
0  35  -8.122834442e-17  0.3740384454  0.9308593827  0.365377626
0  36  -8.122834442e-17  0.3740384454  0.9308593827  0.365377626

1  0  -4.073097741e-17  0.05635176394  0.9984126595  0.05632194431
1  1  -2.628553967e-16  0.03373068742  0.9994311743  0.03372429155
1  2  1.641786445e-16  0.006454180904  0.9999791718  0.006454136094
1  3  -2.637270901e-17  -0.2305873917  0.9735323149  -0.2285494077
1  4  -2.737409444e-16  -0.09745644704  0.9952548779  -0.09730225064
1  5  3.213498472e-16  0.003472685008  0.9999939702  0.003472678028
1  6  2.551608501e-17  0.05249846657  0.998622272  0.05247435482
1  7  1.654393905e-16  -0.01163409778  0.9999323246  -0.01163383534
1  8  2.661679783e-17  -0.02309526862  0.9997333161  -0.02309321553
1  9  2.044177647e-16  -0.1295269739  0.9916231031  -0.1291650935
1  10  2.236802813e-16  -0.02553714204  0.9996739449  -0.02553436647
1  11  -9.296589688e-17  0.001447334875  0.9999989526  0.001447334369
1  12  -1.797974916e-16  0.008683102556  0.9999623021  0.008682993444
1  13  -9.049715057e-17  0.2374083775  0.9719507477  0.2351844896
1  14  -8.66776463e-18  0.09090539763  0.995870949  0.09078024548
