#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  9.348470099e-17  1.905354602  -0.3283519685  0.944555443
0  1  1.896525229e-17  -0.2083080312  0.9783822223  -0.2068048045
0  2  7.259142322e-17  -0.05244200987  0.9986252329  -0.05241797581
0  3  -1.70698793e-17  0.04142329702  0.9991421779  0.04141145173
0  4  -7.806072334e-17  -0.195470434  0.9809564066  -0.1942280317
0  5  4.988199582e-17  0.8631899159  0.6500166988  0.7599199243
0  6  4.988199582e-17  0.8631899159  0.6500166988  0.7599199243

1  0  -4.252973946e-17  -0.2083080312  0.9783822223  -0.2068048045
1  1  2.319370815e-16  -0.2376443317  0.9718952278  -0.235413819
1  2  -8.193167836e-17  -0.1562405908  0.987819248  -0.1556056982
1  3  6.879360622e-17  0.5889093267  0.8315469928  0.5554544074
1  4  -1.769152321e-16  -0.0852067849  0.9963720976  -0.08510371933
1  5  1.922691146e-17  -0.1954705128  0.9809563913  -0.194228109
1  6  1.922691146e-17  -0.1954705128  0.9809563913  -0.194228109

2  0  2.183245348e-16  -0.05244200987  0.9986252329  -0.05241797581
2  1  -6.14160569e-17  -0.1562405908  0.987819248  -0.1556056982
2  2  -2.220185739e-16  0.04841265054  0.9988283365  0.04839374128
2  3  -2.134904304e-16  0.6117411924  0.8186493034  0.5742937559
2  4  -5.323163418e-17  0.5889092987  0.8315470084  0.5554543841
2  5  2.288423401e-16  0.04142372697  0.9991421601  0.04141188132
2  6  2.288423401e-16  0.04142372697  0.9991421601  0.04141188132

3  0  1.533183825e-16  0.04142329702  0.9991421779  0.04141145173
3  1  -1.414065786e-16  0.5889093267  0.8315469928  0.5554544074
3  2  -1.650776009e-16  0.6117411924  0.8186493034  0.5742937559
3  3  -1.505733934e-16  0.04841263018  0.9988283375  0.04839372095
3  4  6.249068293e-17  -0.156240615  0.9878192442  -0.1556057221
3  5  4.640044411e-16  -0.05244207141  0.9986252297  -0.05241803727
3  6  4.640044411e-16  -0.05244207141  0.9986252297  -0.05241803727

4  0  3.415897761e-17  -0.195470434  0.9809564066  -0.1942280317
4  1  3.242782622e-16  -0.0852067849  0.9963720976  -0.08510371933
4  2  -6.352763706e-17  0.5889092987  0.8315470084  0.5554543841
4  3  -2.193258991e-16  -0.156240615  0.9878192442  -0.1556057221
4  4  -1.385194233e-16  -0.2376442597  0.9718952448  -0.235413749
4  5  1.550580619e-16  -0.2083080561  0.9783822171  -0.2068048288
4  6  1.550580619e-16  -0.2083080561  0.9783822171  -0.2068048288

5  0  7.680961989e-18  0.8631899159  0.6500166988  0.7599199243
5  1  -1.004167479e-16  -0.1954705128  0.9809563913  -0.194228109
5  2  -1.920429995e-17  0.04142372697  0.9991421601  0.04141188132
5  3  -3.264123053e-17  -0.05244207141  0.9986252297  -0.05241803727
5  4  -6.569225567e-17  -0.2083080561  0.9783822171  -0.2068048288
5  5  -1.320599465e-16  1.905354411  -0.3283517875  0.9445555058
5  6  -1.320599465e-16  1.905354411  -0.3283517875  0.9445555058

6  0  7.680961989e-18  0.8631899159  -0.3283517875  0.9445555058
6  1  3.242782622e-16  -0.0852067849  -0.3283517875  0.9445555058
6  2  -1.650776009e-16  0.6117411924  -0.3283517875  0.9445555058
6  3  -2.134904304e-16  0.6117411924  -0.3283517875  0.9445555058
6  4  -1.769152321e-16  -0.0852067849  -0.3283517875  0.9445555058
6  5  4.988199582e-17  0.8631899159  -0.3283517875  0.9445555058
6  6  4.988199582e-17  0.8631899159  -0.3283517875  0.9445555058

#Chern no*2pi*Iota= 2.792865581e-17  6.283181005
