#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
29   9.5962095974e-03   5.3012714807e+01   5.5399123095e+02  0.0000000000e+00  -2.1798439465e+02   2.2663132159e-09   1.4721917890e+00  1.5278082110e+00   3.6784861941e-02
30   8.3064301650e-03   5.3012714807e+01   5.5410662077e+02  0.0000000000e+00  -2.1812925535e+02   1.9191275723e-09   1.4721332775e+00  1.5278667225e+00   2.9470870495e-02
31   7.2405223345e-03   5.3012714807e+01   5.5417248796e+02  0.0000000000e+00  -2.1821867826e+02   1.6415948192e-09   1.4721099618e+00  1.5278900382e+00   2.3555731444e-02
32   6.3657087356e-03   5.3012714807e+01   5.5421130205e+02  0.0000000000e+00  -2.1827641850e+02   1.4219495883e-09   1.4721150436e+00  1.5278849564e+00   1.8926150111e-02
33   5.6480771662e-03   5.3012714807e+01   5.5423522233e+02  0.0000000000e+00  -2.1831568842e+02   1.2486020475e-09   1.4721424639e+00  1.5278575361e+00   1.5349640354e-02
34   5.0570526576e-03   5.3012714807e+01   5.5425079407e+02  0.0000000000e+00  -2.1834385158e+02   1.1114900329e-09   1.4721869817e+00  1.5278130183e+00   1.2591422944e-02
35   4.5669569816e-03   5.3012714807e+01   5.5426155062e+02  0.0000000000e+00  -2.1836506196e+02   1.0024119430e-09   1.4722441722e+00  1.5277558278e+00   1.0453829408e-02
36   4.1570663656e-03   5.3012714807e+01   5.5426941958e+02  0.0000000000e+00  -2.1838171358e+02   9.1490918839e-10   1.4723103748e+00  1.5276896252e+00   8.7826477799e-03
37   3.8110257389e-03   5.3012714807e+01   5.5427547220e+02  0.0000000000e+00  -2.1839522801e+02   8.4399002857e-10   1.4723826131e+00  1.5276173869e+00   7.4618181358e-03
38   3.5160755215e-03   5.3012714807e+01   5.5428032004e+02  0.0000000000e+00  -2.1840648128e+02   7.8583592456e-10   1.4724585063e+00  1.5275414937e+00   6.4054227599e-03
39   3.2623039939e-03   5.3012714807e+01   5.5428432482e+02  0.0000000000e+00  -2.1841603628e+02   7.3753793185e-10   1.4725361803e+00  1.5274638197e+00   5.5502242737e-03
40   3.0420069766e-03   5.3012714807e+01   5.5428770973e+02  0.0000000000e+00  -2.1842427083e+02   6.9688339744e-10   1.4726141846e+00  1.5273858154e+00   4.8496493059e-03
41   2.8491722817e-03   5.3012714807e+01   5.5429061912e+02  0.0000000000e+00  -2.1843144946e+02   6.6218735724e-10   1.4726914187e+00  1.5273085813e+00   4.2692368191e-03
42   2.6790787392e-03   5.3012714807e+01   5.5429315096e+02  0.0000000000e+00  -2.1843776461e+02   6.3216471230e-10   1.4727670677e+00  1.5272329323e+00   3.7833014622e-03
43   2.3389014417e-03   5.3012714807e+01   5.5430880184e+02  0.0000000000e+00  -2.1845839039e+02   5.1061597188e-10   1.4728210948e+00  1.5271789052e+00   4.9749089072e-03
44   1.7411376099e-03   5.3012714807e+01   5.5419674236e+02  0.0000000000e+00  -2.1835278978e+02   2.9652430699e-10   1.4728547387e+00  1.5271452613e+00   6.4588732000e-03
45   1.3383757562e-03   5.3012714807e+01   5.5418081378e+02  0.0000000000e+00  -2.1834168116e+02   1.7005011441e-10   1.4728815187e+00  1.5271184813e+00   4.8199564355e-03
46   1.0793545415e-03   5.3012714807e+01   5.5421285555e+02  0.0000000000e+00  -2.1837739634e+02   1.0179711747e-10   1.4729040013e+00  1.5270959987e+00   3.6734083778e-03
47   8.9819698904e-04   5.3012714807e+01   5.5425398933e+02  0.0000000000e+00  -2.1842149607e+02   6.2735225465e-11   1.4729238666e+00  1.5270761334e+00   2.9659493448e-03
48   7.5880799340e-04   5.3012714807e+01   5.5428839879e+02  0.0000000000e+00  -2.1845839842e+02   3.8007000867e-11   1.4729428950e+00  1.5270571050e+00   2.4928819455e-03
49   6.4511658724e-04   5.3012714807e+01   5.5431271133e+02  0.0000000000e+00  -2.1848485603e+02   2.1330540595e-11   1.4729628235e+00  1.5270371765e+00   2.1450721212e-03
50   5.5036258059e-04   5.3012714807e+01   5.5432828215e+02  0.0000000000e+00  -2.1850229899e+02   1.0247662221e-11   1.4729851551e+00  1.5270148449e+00   1.8721351591e-03
51   4.7127894940e-04   5.3012714807e+01   5.5433754180e+02  0.0000000000e+00  -2.1851320854e+02   3.6973550934e-12   1.4730110661e+00  1.5269889339e+00   1.6499077224e-03
52   4.0564976294e-04   5.3012714807e+01   5.5434265257e+02  0.0000000000e+00  -2.1851978460e+02   1.0205429499e-12   1.4730413917e+00  1.5269586083e+00   1.4652966701e-03
53   3.5151560000e-04   5.3012714807e+01   5.5434519040e+02  0.0000000000e+00  -2.1852363251e+02   1.6372949002e-12   1.4730766536e+00  1.5269233464e+00   1.3100794441e-03
54   3.0702589155e-04   5.3012714807e+01   5.5434619704e+02  0.0000000000e+00  -2.1852581760e+02   4.9829408682e-12   1.4731171052e+00  1.5268828948e+00   1.1784371650e-03
55   2.7047942907e-04   5.3012714807e+01   5.5434632233e+02  0.0000000000e+00  -2.1852700882e+02   1.0522605920e-11   1.4731627821e+00  1.5268372179e+00   1.0659430618e-03
56   2.4038071769e-04   5.3012714807e+01   5.5434595651e+02  0.0000000000e+00  -2.1852761211e+02   1.7774024238e-11   1.4732135493e+00  1.5267864507e+00   9.6910766308e-04
57   2.1546605543e-04   5.3012714807e+01   5.5434532791e+02  0.0000000000e+00  -2.1852786866e+02   2.6320939538e-11   1.4732691445e+00  1.5267308555e+00   8.8513982655e-04
58   1.9469923701e-04   5.3012714807e+01   5.5434456768e+02  0.0000000000e+00  -2.1852792022e+02   3.5814877020e-11   1.4733292140e+00  1.5266707860e+00   8.1179620901e-04
59   1.7724840391e-04   5.3012714807e+01   5.5434375012e+02  0.0000000000e+00  -2.1852784993e+02   4.5971900071e-11   1.4733933431e+00  1.5266066569e+00   7.4727189451e-04
60   1.6245488981e-04   5.3012714807e+01   5.5434291692e+02  0.0000000000e+00  -2.1852770684e+02   5.6562563614e-11   1.4734610808e+00  1.5265389192e+00   6.9011441661e-04
61   1.4980124535e-04   5.3012714807e+01   5.5434209119e+02  0.0000000000e+00  -2.1852752027e+02   6.7404653327e-11   1.4735319590e+00  1.5264680410e+00   6.3915405315e-04
62   1.3888225151e-04   5.3012714807e+01   5.5434128559e+02  0.0000000000e+00  -2.1852730812e+02   7.8353867716e-11   1.4736055081e+00  1.5263944919e+00   5.9344700975e-04
63   1.2938042977e-04   5.3012714807e+01   5.5434050685e+02  0.0000000000e+00  -2.1852708161e+02   8.9296274687e-11   1.4736812680e+00  1.5263187320e+00   5.5222934799e-04
64   1.1622340175e-04   5.3012714807e+01   5.5434006071e+02  0.0000000000e+00  -2.1852715870e+02   9.7722349058e-11   1.4737579824e+00  1.5262420176e+00   5.2323430623e-04
65   9.4769234946e-05   5.3012714807e+01   5.5433655089e+02  0.0000000000e+00  -2.1852415749e+02   1.0255821546e-10   1.4738350523e+00  1.5261649477e+00   5.0861114823e-04
66   7.4324169385e-05   5.3012714807e+01   5.5433401889e+02  0.0000000000e+00  -2.1852211449e+02   1.0772231945e-10   1.4739123358e+00  1.5260876642e+00   4.8899567275e-04
67   5.8027487157e-05   5.3012714807e+01   5.5433317772e+02  0.0000000000e+00  -2.1852173995e+02   1.1436332137e-10   1.4739896178e+00  1.5260103822e+00   4.6663787202e-04
68   4.5704491176e-05   5.3012714807e+01   5.5433338878e+02  0.0000000000e+00  -2.1852239482e+02   1.2229623692e-10   1.4740666778e+00  1.5259333222e+00   4.4380277291e-04
